,avgType,fast,slow,sig,delay,window,stdev,numSell,exposure,drawdown,winLoss,value,zzz
30,logarithmic,5,8,6,1,12,1.4,203,0.5604449938195303,-0.170296052703076,3.2291666666666665,48659.41000000003,logarithmic-5-8-6-1-12-1.4
36,logarithmic,5,8,6,1,15,1.4,202,0.5619283065512979,-0.1695913220874119,3.208333333333333,45319.04000000001,logarithmic-5-8-6-1-15-1.4
24,logarithmic,5,8,6,1,9,1.4,205,0.5587144622991347,-0.2150419377204748,3.1,44270.400000000016,logarithmic-5-8-6-1-9-1.4
20,simple,11,12,3,2,3,2.0,118,0.6514215080346106,-0.3155736197785471,2.933333333333333,44199.370000000046,simple-11-12-3-2-3-2.0
19,logarithmic,5,8,6,1,6,1.6,208,0.5587144622991347,-0.1890109938267462,2.9245283018867925,42959.350000000006,logarithmic-5-8-6-1-6-1.6
81,exponential,11,12,3,1,15,1.4,184,0.5334981458590853,-0.1786708705835229,3.717948717948718,42613.559999999954,exponential-11-12-3-1-15-1.4
35,logarithmic,5,8,6,1,15,1.2,197,0.5525339925834364,-0.1695913220874119,3.1041666666666665,42091.05000000006,logarithmic-5-8-6-1-15-1.2
30,simple,11,12,3,2,9,1.6,107,0.6111248454882571,-0.2605192125943717,3.652173913043478,41558.44000000002,simple-11-12-3-2-9-1.6
37,simple,11,12,3,2,12,1.8,110,0.6360939431396786,-0.361342583228834,3.782608695652174,41060.95999999997,simple-11-12-3-2-12-1.8
25,logarithmic,5,12,3,1,12,1.4,195,0.5438813349814586,-0.1778748216340306,2.9,41021.12999999997,logarithmic-5-12-3-1-12-1.4
31,logarithmic,5,8,6,1,12,1.6,209,0.5725587144622991,-0.2689469600314727,3.019230769230769,40932.10000000001,logarithmic-5-8-6-1-12-1.6
76,exponential,11,12,3,1,12,1.6,189,0.5441285537700865,-0.1842965794514989,3.5,40302.33999999999,exponential-11-12-3-1-12-1.6
25,logarithmic,5,8,6,1,9,1.6,207,0.5668726823238566,-0.2441755581009683,3.0588235294117645,40210.04000000004,logarithmic-5-8-6-1-9-1.6
23,logarithmic,5,8,6,1,9,1.2,199,0.5411619283065513,-0.2057288851622779,3.145833333333333,40177.030000000006,logarithmic-5-8-6-1-9-1.2
9,logarithmic,7,8,3,2,9,1.4,133,0.5930778739184178,-0.1396343623537575,3.0303030303030303,40099.14999999999,logarithmic-7-8-3-2-9-1.4
31,logarithmic,5,12,3,1,15,1.4,192,0.5458590852904821,-0.179158782993429,2.9183673469387754,39852.04000000002,logarithmic-5-12-3-1-15-1.4
18,logarithmic,5,8,6,1,6,1.4,200,0.546353522867738,-0.2343762325327288,3.1666666666666665,39826.78000000004,logarithmic-5-8-6-1-6-1.4
23,simple,11,12,3,2,6,1.4,107,0.5995055624227441,-0.2465542729589493,3.28,39731.82999999999,simple-11-12-3-2-6-1.4
100,logarithmic,7,12,3,1,12,1.4,184,0.5406674907292954,-0.1841100868336098,3.380952380952381,39360.30000000001,logarithmic-7-12-3-1-12-1.4
82,exponential,11,12,3,1,15,1.6,186,0.5480840543881335,-0.1842965794514989,3.5365853658536586,39119.6,exponential-11-12-3-1-15-1.6
35,simple,11,12,3,2,12,1.4,107,0.5997527812113721,-0.2605192125943717,3.652173913043478,39063.48999999999,simple-11-12-3-2-12-1.4
116,exponential,9,12,6,1,15,1.4,178,0.5374536464771322,-0.2180471247304229,3.5641025641025643,39042.93000000002,exponential-9-12-6-1-15-1.4
19,logarithmic,5,12,3,1,9,1.4,196,0.5428924598269469,-0.1778748216340306,2.843137254901961,39038.44999999998,logarithmic-5-12-3-1-9-1.4
20,logarithmic,7,8,3,2,15,1.2,129,0.5854140914709518,-0.1395301373370492,3.3,38971.19999999998,logarithmic-7-8-3-2-15-1.2
37,logarithmic,5,8,6,1,15,1.6,209,0.5789864029666255,-0.2625283300299774,3.019230769230769,38949.33000000007,logarithmic-5-8-6-1-15-1.6
15,logarithmic,7,8,3,2,12,1.4,132,0.592583436341162,-0.1396343623537575,3.2580645161290325,38932.79000000002,logarithmic-7-8-3-2-12-1.4
29,logarithmic,5,8,6,1,12,1.2,197,0.546353522867738,-0.2057288851622779,3.1041666666666665,38916.16000000003,logarithmic-5-8-6-1-12-1.2
22,logarithmic,7,8,3,2,15,1.6,130,0.6118665018541409,-0.176650846250042,3.333333333333333,38912.25000000001,logarithmic-7-8-3-2-15-1.6
70,simple,9,12,3,2,9,1.6,134,0.554017305315204,-0.2712958682009339,2.1904761904761907,38763.92000000003,simple-9-12-3-2-9-1.6
40,simple,11,12,3,2,15,1.2,103,0.5938195302843016,-0.2605192125943717,3.6818181818181817,38544.77000000002,simple-11-12-3-2-15-1.2
29,simple,11,12,3,2,9,1.4,103,0.6009888751545117,-0.2605192125943717,3.2916666666666665,38542.61999999996,simple-11-12-3-2-9-1.4
6,logarithmic,7,8,3,2,6,2.0,139,0.6202719406674907,-0.1428285836502321,3.088235294117647,38454.23,logarithmic-7-8-3-2-6-2.0
31,exponential,7,12,6,1,15,1.4,188,0.5354758961681088,-0.191798899617397,3.372093023255814,38253.93000000001,exponential-7-12-6-1-15-1.4
19,simple,11,12,3,2,3,1.8,118,0.6333745364647714,-0.3493027643041802,2.933333333333333,38248.59,simple-11-12-3-2-3-1.8
34,simple,11,12,3,2,12,1.2,102,0.5898640296662546,-0.2605192125943717,3.4347826086956523,38042.08,simple-11-12-3-2-12-1.2
4,logarithmic,7,8,3,2,6,1.6,133,0.5935723114956737,-0.1400712311934545,2.911764705882353,38003.27,logarithmic-7-8-3-2-6-1.6
43,simple,11,12,3,2,15,1.8,110,0.6487021013597033,-0.4050715071102598,3.4,37820.48999999998,simple-11-12-3-2-15-1.8
60,simple,9,12,3,2,3,2.0,151,0.5799752781211372,-0.2457306953380728,1.9038461538461535,37546.85999999999,simple-9-12-3-2-3-2.0
5,logarithmic,7,8,3,2,6,1.8,138,0.6051915945611867,-0.1610193284932481,3.0588235294117645,37468.67,logarithmic-7-8-3-2-6-1.8
70,exponential,11,12,3,1,9,1.6,192,0.542150803461063,-0.1841767418218785,3.363636363636364,37447.41000000004,exponential-11-12-3-1-9-1.6
26,simple,11,12,3,2,6,2.0,117,0.6526576019777504,-0.3803041948141258,2.9,37401.18000000005,simple-11-12-3-2-6-2.0
32,logarithmic,5,12,3,1,15,1.6,200,0.5646477132262052,-0.2315624653699821,2.92156862745098,37344.98999999996,logarithmic-5-12-3-1-15-1.6
124,logarithmic,7,8,6,2,6,1.6,159,0.553770086526576,-0.1711018948453812,2.533333333333333,37267.38999999999,logarithmic-7-8-6-2-6-1.6
75,exponential,11,12,3,1,12,1.4,187,0.5349814585908529,-0.2401800820535162,3.675,37238.680000000015,exponential-11-12-3-1-12-1.4
21,logarithmic,7,8,3,2,15,1.4,131,0.5977750309023486,-0.1517394418200781,3.225806451612903,37226.95999999999,logarithmic-7-8-3-2-15-1.4
31,simple,11,12,3,2,9,1.8,107,0.6338689740420272,-0.361342583228834,3.458333333333333,36986.45999999996,simple-11-12-3-2-9-1.8
10,logarithmic,7,8,6,2,12,1.4,158,0.5552533992583436,-0.1707328315045908,2.761904761904762,36879.02999999997,logarithmic-7-8-6-2-12-1.4
20,logarithmic,5,8,6,1,6,1.8,213,0.5740420271940667,-0.2951796797852005,2.872727272727273,36870.35000000004,logarithmic-5-8-6-1-6-1.8
36,simple,11,12,3,2,12,1.6,106,0.6296662546353523,-0.3316126149648259,3.4166666666666665,36839.989999999976,simple-11-12-3-2-12-1.6
24,simple,11,12,3,2,6,1.6,109,0.6158220024721879,-0.2758282431940457,3.037037037037037,36802.110000000015,simple-11-12-3-2-6-1.6
74,simple,9,12,3,2,12,1.2,128,0.538689740420272,-0.2597704494673852,2.0476190476190474,36752.369999999966,simple-9-12-3-2-12-1.2
64,simple,9,12,3,2,6,1.6,136,0.5485784919653893,-0.2597704494673852,2.022222222222222,36745.83999999996,simple-9-12-3-2-6-1.6
12,logarithmic,7,8,3,2,9,2.0,138,0.6207663782447466,-0.1998681446616231,3.3125,36709.78999999999,logarithmic-7-8-3-2-9-2.0
106,logarithmic,7,12,3,1,15,1.4,182,0.5436341161928306,-0.1833244143642035,3.333333333333333,36703.68000000003,logarithmic-7-12-3-1-15-1.4
3,logarithmic,7,8,3,2,6,1.4,130,0.5799752781211372,-0.1400712311934545,3.0625,36665.95000000005,logarithmic-7-8-3-2-6-1.4
11,logarithmic,7,8,3,2,9,1.8,138,0.6185414091470952,-0.220649692558038,3.1818181818181817,36645.20999999998,logarithmic-7-8-3-2-9-1.8
80,simple,9,12,3,2,15,1.2,130,0.5441285537700865,-0.2712958682009339,2.0232558139534884,36609.32999999997,simple-9-12-3-2-15-1.2
16,logarithmic,7,8,6,2,15,1.4,157,0.5597033374536465,-0.1875060323808215,2.8292682926829267,36506.05999999995,logarithmic-7-8-6-2-15-1.4
18,simple,11,12,3,2,3,1.6,118,0.6190358467243511,-0.3595057202010804,3.0689655172413794,36489.279999999984,simple-11-12-3-2-3-1.6
30,logarithmic,5,12,3,1,15,1.2,188,0.5372064276885044,-0.1778748216340306,2.836734693877551,36399.88,logarithmic-5-12-3-1-15-1.2
21,logarithmic,5,8,6,1,6,2.0,211,0.5849196538936959,-0.3286168340625437,2.9074074074074074,36397.61000000003,logarithmic-5-8-6-1-6-2.0
14,logarithmic,5,12,3,1,6,1.6,204,0.5468479604449938,-0.1823469247354394,2.709090909090909,36365.35000000001,logarithmic-5-12-3-1-6-1.6
39,simple,11,12,3,2,15,1.0,102,0.5779975278121138,-0.2526321015257546,3.4347826086956523,36358.39999999998,simple-11-12-3-2-15-1.0
83,exponential,11,12,3,1,15,1.8,189,0.5597033374536465,-0.2617957403273542,3.108695652173913,36327.500000000015,exponential-11-12-3-1-15-1.8
63,simple,9,12,3,2,6,1.4,133,0.5330037082818294,-0.2589931237992445,1.891304347826087,36317.39999999999,simple-9-12-3-2-6-1.4
26,logarithmic,5,12,3,1,12,1.6,202,0.5592088998763906,-0.2605736988347898,2.8846153846153846,36142.63,logarithmic-5-12-3-1-12-1.6
107,logarithmic,7,12,3,1,15,1.6,188,0.56168108776267,-0.2174768355639832,3.272727272727273,36138.07999999999,logarithmic-7-12-3-1-15-1.6
75,simple,9,12,3,2,12,1.4,135,0.54610630407911,-0.2712958682009339,2.0,35997.44000000001,simple-9-12-3-2-12-1.4
79,simple,9,12,3,2,15,1.0,124,0.5278121137206427,-0.2661253631050296,2.1,35869.899999999965,simple-9-12-3-2-15-1.0
41,simple,11,12,3,2,15,1.4,106,0.6135970333745364,-0.2903365191905303,3.4166666666666665,35847.33000000002,simple-11-12-3-2-15-1.4
20,logarithmic,5,12,6,1,12,1.4,164,0.5300370828182942,-0.1779807351444478,3.2051282051282053,35820.32000000003,logarithmic-5-12-6-1-12-1.4
15,logarithmic,5,16,3,1,12,1.4,167,0.5295426452410383,-0.1737931832057573,3.3947368421052637,35796.85,logarithmic-5-16-3-1-12-1.4
10,logarithmic,7,8,3,2,9,1.6,135,0.6019777503090235,-0.1771602152608225,2.9705882352941178,35734.29000000001,logarithmic-7-8-3-2-9-1.6
14,logarithmic,5,12,6,1,9,1.4,164,0.5278121137206427,-0.1779807351444478,3.2051282051282053,35732.66000000002,logarithmic-5-12-6-1-9-1.4
4,logarithmic,7,8,6,2,9,1.4,159,0.5527812113720643,-0.1768364564147589,2.533333333333333,35724.929999999964,logarithmic-7-8-6-2-9-1.4
42,simple,11,12,3,2,15,1.6,109,0.6279357231149567,-0.3674084602343979,3.5416666666666665,35647.54,simple-11-12-3-2-15-1.6
14,logarithmic,7,8,3,2,12,1.2,130,0.5836835599505562,-0.1956012074716137,3.193548387096774,35625.070000000014,logarithmic-7-8-3-2-12-1.2
16,exponential,7,20,3,1,15,1.4,170,0.5196538936959209,-0.1785577331476922,4.0,35532.91999999999,exponential-7-20-3-1-15-1.4
