,avgType,fast,slow,sig,delay,window,stdev,numSell,exposure,drawdown,winLoss,value,zzz
0,simple,9,20,6,1,3,1.0,105,0.480593325092707,-0.5446239405609272,2.3870967741935485,11414.82999999999,simple-9-20-6-1-3-1.0
1,simple,9,20,6,1,3,1.2,106,0.5025957972805933,-0.5482724111340868,1.7894736842105263,11381.699999999999,simple-9-20-6-1-3-1.2
2,simple,9,20,6,1,3,1.4,100,0.5137206427688504,-0.5868597640543379,2.125,10245.059999999996,simple-9-20-6-1-3-1.4
3,simple,9,20,6,1,3,1.6,103,0.5250927070457355,-0.5493083969938384,2.0294117647058822,11501.950000000003,simple-9-20-6-1-3-1.6
4,simple,9,20,6,1,3,1.8,104,0.5426452410383189,-0.5771795336821947,2.25,11142.499999999987,simple-9-20-6-1-3-1.8
5,simple,9,20,6,1,3,2.0,103,0.5478368355995056,-0.48881890042420717,2.433333333333333,13697.310000000001,simple-9-20-6-1-3-2.0
6,simple,9,20,6,1,6,1.0,88,0.4662546353522868,-0.39879748437671503,3.0,16767.39,simple-9-20-6-1-6-1.0
7,simple,9,20,6,1,6,1.2,90,0.4880098887515451,-0.47503638269731824,3.090909090909091,15488.460000000003,simple-9-20-6-1-6-1.2
8,simple,9,20,6,1,6,1.4,90,0.5040791100123609,-0.44996350671697605,2.4615384615384617,14811.620000000003,simple-9-20-6-1-6-1.4
9,simple,9,20,6,1,6,1.6,89,0.5166872682323856,-0.49272478756485877,2.869565217391304,14350.179999999995,simple-9-20-6-1-6-1.6
10,simple,9,20,6,1,6,1.8,94,0.5312731767614338,-0.5480353343448242,2.4814814814814814,12476.060000000014,simple-9-20-6-1-6-1.8
11,simple,9,20,6,1,6,2.0,100,0.5391841779975278,-0.5777103450716379,1.9411764705882353,11597.039999999988,simple-9-20-6-1-6-2.0
12,simple,9,20,6,1,9,1.0,83,0.4647713226205192,-0.41720536650314777,3.3684210526315788,15715.799999999994,simple-9-20-6-1-9-1.0
13,simple,9,20,6,1,9,1.2,86,0.4835599505562423,-0.3614418606708576,3.0952380952380953,17053.81000000001,simple-9-20-6-1-9-1.2
14,simple,9,20,6,1,9,1.4,84,0.49740420271940666,-0.400527272646847,3.2,16320.90999999999,simple-9-20-6-1-9-1.4
