,avgType,avgType2,fast,slow,sig,delay,window,stdev,numSell,exposure,drawdown,winLoss,value,zzz
0,exponential,logarithmic,9,13,7,3,6,1.0,65,0.377008652657602,-0.3912531810921298,2.823529411764706,15390.25,exponential-9-13-7-3-6-1.0
1,exponential,logarithmic,9,13,7,3,6,1.2,67,0.3943139678615575,-0.37882696382743597,3.466666666666667,19350.500000000015,exponential-9-13-7-3-6-1.2
2,exponential,logarithmic,9,13,7,3,6,1.4,69,0.3992583436341162,-0.3845296141847216,3.3125,19378.360000000008,exponential-9-13-7-3-6-1.4
3,exponential,logarithmic,9,13,7,3,6,1.6,72,0.4042027194066749,-0.32790985107169085,3.0,21376.25000000002,exponential-9-13-7-3-6-1.6
4,exponential,logarithmic,9,13,7,3,6,1.8,73,0.415327564894932,-0.3987804413341089,2.65,17757.390000000014,exponential-9-13-7-3-6-1.8
5,exponential,logarithmic,9,13,7,3,6,2.0,72,0.4252163164400494,-0.3599346564409966,2.789473684210526,18560.200000000004,exponential-9-13-7-3-6-2.0
6,exponential,logarithmic,9,13,7,3,9,1.0,64,0.3772558714462299,-0.37908186097530616,3.0,16295.010000000007,exponential-9-13-7-3-9-1.0
7,exponential,logarithmic,9,13,7,3,9,1.2,66,0.39480840543881335,-0.3518238706118007,3.4,20017.770000000008,exponential-9-13-7-3-9-1.2
8,exponential,logarithmic,9,13,7,3,9,1.4,68,0.4049443757725587,-0.3020549091336844,3.25,21725.920000000006,exponential-9-13-7-3-9-1.4
9,exponential,logarithmic,9,13,7,3,9,1.6,70,0.4086526576019778,-0.3020549091336844,3.1176470588235294,21692.32999999999,exponential-9-13-7-3-9-1.6
10,exponential,logarithmic,9,13,7,3,9,1.8,70,0.42249690976514215,-0.4405728164830124,2.888888888888889,16524.010000000002,exponential-9-13-7-3-9-1.8
11,exponential,logarithmic,9,13,7,3,9,2.0,70,0.4274412855377009,-0.4264768986329878,2.888888888888889,17089.120000000014,exponential-9-13-7-3-9-2.0
12,exponential,logarithmic,9,13,7,3,12,1.0,64,0.3799752781211372,-0.3420620526986972,3.0,17899.950000000008,exponential-9-13-7-3-12-1.0
13,exponential,logarithmic,9,13,7,3,12,1.2,66,0.3891223733003708,-0.3518238706118007,3.4,18435.78000000001,exponential-9-13-7-3-12-1.2
14,exponential,logarithmic,9,13,7,3,12,1.4,67,0.4064276885043263,-0.3020549091336844,3.466666666666667,22081.75999999999,exponential-9-13-7-3-12-1.4
15,exponential,logarithmic,9,13,7,3,12,1.6,70,0.41137206427688505,-0.31462989931723956,3.1176470588235294,21250.520000000008,exponential-9-13-7-3-12-1.6
16,exponential,logarithmic,9,13,7,3,12,1.8,69,0.4259579728059332,-0.4630611734338008,3.0588235294117645,16922.740000000005,exponential-9-13-7-3-12-1.8
17,exponential,logarithmic,9,13,7,3,12,2.0,70,0.42941903584672436,-0.44846076487087877,3.1176470588235294,16462.80000000001,exponential-9-13-7-3-12-2.0
18,exponential,logarithmic,9,13,7,3,15,1.0,65,0.3826946847960445,-0.3513083825988653,3.0625,17292.740000000016,exponential-9-13-7-3-15-1.0
19,exponential,logarithmic,9,13,7,3,15,1.2,65,0.39629171817058095,-0.3020549091336844,3.3333333333333335,20366.28000000001,exponential-9-13-7-3-15-1.2
20,exponential,logarithmic,9,13,7,3,15,1.4,66,0.4014833127317676,-0.31462989931723956,3.4,19917.91,exponential-9-13-7-3-15-1.4
21,exponential,logarithmic,9,13,7,3,15,1.6,68,0.41878862793572313,-0.404013393441455,3.0,18100.070000000003,exponential-9-13-7-3-15-1.6
22,exponential,logarithmic,9,13,7,3,15,1.8,69,0.42793572311495676,-0.4630611734338008,3.0588235294117645,16830.74,exponential-9-13-7-3-15-1.8
23,exponential,logarithmic,9,13,7,3,15,2.0,70,0.4395550061804697,-0.5084819054340858,2.888888888888889,13922.93,exponential-9-13-7-3-15-2.0
24,exponential,logarithmic,9,13,7,4,6,1.0,22,0.2699629171817058,-0.23263041873960993,2.142857142857143,12321.949999999993,exponential-9-13-7-4-6-1.0
25,exponential,logarithmic,9,13,7,4,6,1.2,22,0.2783683559950556,-0.183245664044943,2.6666666666666665,13621.729999999989,exponential-9-13-7-4-6-1.2
26,exponential,logarithmic,9,13,7,4,6,1.4,23,0.27935723114956734,-0.20326121192197744,2.2857142857142856,12656.459999999995,exponential-9-13-7-4-6-1.4
27,exponential,logarithmic,9,13,7,4,6,1.6,24,0.280840543881335,-0.20275010287017836,2.0,13717.609999999986,exponential-9-13-7-4-6-1.6
