,avgType,window,stdev,numSell,exposure,drawdown,winLoss,value,zzz
0,simple,20,0.0,0,0.0,0.0,0.0,10000.0,simple-20-0.0
1,simple,20,0.2,0,0.0,0.0,0.0,10000.0,simple-20-0.2
2,simple,20,0.4,0,0.0,0.0,0.0,10000.0,simple-20-0.4
3,simple,20,0.6,18,0.01730103806228374,-0.06338628996899252,1.0,11050.179999999991,simple-20-0.6
4,simple,20,0.8,82,0.1060306475531389,-0.1420722122221589,1.7333333333333334,14103.173799999995,simple-20-0.8
5,simple,20,1.0,188,0.32328225407810185,-0.14193075759587273,1.7246376811594204,20759.297100000043,simple-20-1.0
6,simple,20,1.2,223,0.5677212061295106,-0.4103630942247717,2.2318840579710146,23985.411500000002,simple-20-1.2
7,simple,20,1.4,206,0.6193771626297578,-0.3783190027024628,2.5517241379310347,20841.6621,simple-20-1.4
8,simple,20,1.6,201,0.6339594661393969,-0.3793032242234746,2.6545454545454548,22560.774000000005,simple-20-1.6
9,simple,20,1.8,199,0.6356895699456253,-0.37031147402197734,2.7547169811320753,24787.255900000007,simple-20-1.8
10,simple,20,2.0,199,0.6356895699456253,-0.37031147402197734,2.7547169811320753,24787.255900000007,simple-20-2.0
11,simple,50,0.0,0,0.0,0.0,0.0,10000.0,simple-50-0.0
12,simple,50,0.2,0,0.0,0.0,0.0,10000.0,simple-50-0.2
13,simple,50,0.4,6,0.007167572911517549,-0.015041258438441925,5.0,11567.87,simple-50-0.4
14,simple,50,0.6,41,0.054869006426099855,-0.10853169806566702,1.2777777777777777,11793.679199999999,simple-50-0.6
15,simple,50,0.8,116,0.1875926841324765,-0.14248485752224316,1.6363636363636365,15186.711900000006,simple-50-0.8
16,simple,50,1.0,184,0.3838358872960949,-0.14337901263728067,2.1186440677966103,27209.28950000004,simple-50-1.0
17,simple,50,1.2,209,0.522985664854177,-0.18205280857338818,2.4262295081967213,37066.19870000002,simple-50-1.2
18,simple,50,1.4,204,0.5862580326248147,-0.33303402796602316,2.5789473684210527,26847.488900000015,simple-50-1.4
19,simple,50,1.6,203,0.6127039050914483,-0.32068426166455594,2.625,30094.8353,simple-50-1.6
20,simple,50,1.8,200,0.6188828472565496,-0.35126935750160226,2.6363636363636362,27599.53080000002,simple-50-1.8
21,simple,50,2.0,198,0.6262975778546713,-0.3690223995063091,2.6666666666666665,23139.102299999995,simple-50-2.0
22,simple,100,0.0,0,0.0,0.0,0.0,10000.0,simple-100-0.0
23,simple,100,0.2,0,0.0,0.0,0.0,10000.0,simple-100-0.2
24,simple,100,0.4,11,0.010874938210578349,-0.0974529999999997,1.2,9393.136600000005,simple-100-0.4
0,simple,100,0.6,66,0.10108749382105783,-0.15128746960159964,1.5384615384615385,14306.852400000002,simple-100-0.6
1,simple,100,0.8,131,0.25852694018783984,-0.15120050959957254,1.8478260869565217,15399.605500000014,simple-100-0.8
2,simple,100,1.0,184,0.4246169055857637,-0.1798075412143284,1.9206349206349207,21169.09140000004,simple-100-1.0
3,simple,100,1.2,195,0.5266930301532378,-0.2124157953155366,2.482142857142857,31682.679600000032,simple-100-1.2
4,simple,100,1.4,201,0.5704399406821552,-0.15181063117970825,2.6545454545454548,38374.48009999998,simple-100-1.4
5,simple,100,1.6,199,0.5892239248640633,-0.3461967123362861,2.685185185185185,27723.70420000001,simple-100-1.6
6,simple,100,1.8,198,0.6028175976272863,-0.33298231172684717,2.7358490566037736,25633.0386,simple-100-1.8
7,simple,100,2.0,200,0.6087493821057834,-0.3740296642850082,2.7037037037037037,27911.551100000026,simple-100-2.0
8,simple,125,0.0,0,0.0,0.0,0.0,10000.0,simple-125-0.0
9,simple,125,0.2,0,0.0,0.0,0.0,10000.0,simple-125-0.2
10,simple,125,0.4,10,0.009144834404349975,-0.02282940522144927,2.3333333333333335,10300.556300000006,simple-125-0.4
11,simple,125,0.6,70,0.10504201680672269,-0.15190971598542913,2.0434782608695654,15118.904900000012,simple-125-0.6
12,simple,125,0.8,130,0.27904102817597626,-0.1515479878954328,1.7083333333333333,15122.275400000002,simple-125-0.8
13,simple,125,1.0,182,0.4290657439446367,-0.18807099029592234,2.1379310344827585,22645.739900000008,simple-125-1.0
14,simple,125,1.2,191,0.5259515570934256,-0.22571974414780324,2.537037037037037,29852.985900000018,simple-125-1.2
15,simple,125,1.4,201,0.5620365793376174,-0.2316056280113724,2.5892857142857144,33296.44320000002,simple-125-1.4
16,simple,125,1.6,198,0.5887296094908552,-0.21429268647326918,2.5357142857142856,30585.51220000001,simple-125-1.6
17,simple,125,1.8,196,0.5966386554621849,-0.37731856546377474,2.6296296296296298,23704.443900000024,simple-125-1.8
18,simple,125,2.0,196,0.6010874938210579,-0.3195682957633279,2.6296296296296298,28992.037600000007,simple-125-2.0
19,simple,150,0.0,0,0.0,0.0,0.0,10000.0,simple-150-0.0
20,simple,150,0.2,0,0.0,0.0,0.0,10000.0,simple-150-0.2
21,simple,150,0.4,19,0.020761245674740483,-0.03910537403239762,2.1666666666666665,10952.026100000001,simple-150-0.4
22,simple,150,0.6,71,0.11072664359861592,-0.15120900945467014,1.5357142857142858,12566.417900000013,simple-150-0.6
23,simple,150,0.8,135,0.28398418190805735,-0.15213151679556397,1.8125,14555.57640000003,simple-150-0.8
24,simple,150,1.0,173,0.4310430054374691,-0.22917402219145971,2.2641509433962264,22225.472200000022,simple-150-1.0
0,simple,150,1.2,191,0.5249629263470094,-0.22566132942867215,2.6037735849056602,30300.91950000001,simple-150-1.2
1,simple,150,1.4,195,0.5620365793376174,-0.17007915082176178,2.823529411764706,37645.53350000002,simple-150-1.4
2,simple,150,1.6,197,0.583292140385566,-0.22110429371806267,2.581818181818182,29973.671100000003,simple-150-1.6
3,simple,150,1.8,194,0.5951557093425606,-0.3766442857586108,2.730769230769231,24557.797399999956,simple-150-1.8
4,simple,150,2.0,195,0.5976272862086011,-0.3198310915264956,2.823529411764706,31901.212800000012,simple-150-2.0
5,simple,200,0.0,0,0.0,0.0,0.0,10000.0,simple-200-0.0
6,simple,200,0.2,0,0.0,0.0,0.0,10000.0,simple-200-0.2
7,simple,200,0.4,17,0.02422145328719723,-0.05647875686595794,1.125,11027.129999999994,simple-200-0.4
8,simple,200,0.6,75,0.12876915472071182,-0.15125608504639781,1.5862068965517242,12582.798400000014,simple-200-0.6
9,simple,200,0.8,137,0.29634206623826,-0.1516501407622644,1.6346153846153846,16326.428900000014,simple-200-0.8
10,simple,200,1.0,173,0.435244686109738,-0.15155094442702055,2.326923076923077,26143.355600000006,simple-200-1.0
11,simple,200,1.2,186,0.5192782995551162,-0.21612044794187812,2.6470588235294117,28236.037500000013,simple-200-1.2
12,simple,200,1.4,189,0.5561047948591201,-0.17285584915237628,2.6346153846153846,31493.315999999977,simple-200-1.4
13,simple,200,1.6,193,0.5808205635195255,-0.2601291239569801,2.574074074074074,26327.61949999998,simple-200-1.6
14,simple,200,1.8,190,0.587988136431043,-0.3354478190638543,2.6538461538461537,25039.795,simple-200-1.8
