,avgType,window,stdev,numSell,exposure,drawdown,winLoss,value,zzz,spy,qqq,dia,AVG
22,logarithmic,125,1.4,201,0.563519525,-0.21417222,3.102040816,52379.85,logarithmic-125-1.4,5,1,1,2.333333333
4,simple,100,1.4,203,0.570192783,-0.202992767,3.142857143,57374.96,simple-100-1.4,1,7,2,3.333333333
20,median,100,1.4,199,0.553138903,-0.277774111,3.145833333,51582.74,median-100-1.4,6,3,6,5
15,simple,125,1.4,199,0.562283737,-0.212176453,3.145833333,52687.25,simple-125-1.4,4,2,11,5.666666667
6,median,125,1.4,195,0.544982699,-0.27836887,3.0625,47699.92,median-125-1.4,8,16,7,10.33333333
8,logarithmic,150,1.4,198,0.563519525,-0.21337471,3.040816327,47681.07,logarithmic-150-1.4,9,13,10,10.66666667
3,simple,100,1.2,203,0.522491349,-0.249945969,2.690909091,44330.45,simple-100-1.2,17,6,18,13.66666667
17,simple,50,1.2,212,0.519772615,-0.27216771,2.419354839,41684.54,simple-50-1.2,27,10,4,13.66666667
11,logarithmic,100,1.4,205,0.573158675,-0.295727131,3.1,54229.96,logarithmic-100-1.4,3,34,5,14
7,median,125,1.6,199,0.562283737,-0.237839752,3.145833333,46491.39,median-125-1.6,13,22,19,18
1,simple,150,1.4,198,0.562530895,-0.289982267,3.040816327,41310.68,simple-150-1.4,30,23,3,18.66666667
21,logarithmic,125,1.2,201,0.526940188,-0.29371843,2.865384615,40313.96,logarithmic-125-1.2,36,5,15,18.66666667
10,logarithmic,100,1.2,202,0.533860603,-0.216462454,2.811320755,43362.27,logarithmic-100-1.2,20,4,35,19.66666667
8,median,50,1.2,212,0.497775581,-0.228814726,2.365079365,40576.26,median-50-1.2,35,8,16,19.66666667
21,median,100,1.6,201,0.578348987,-0.178388357,3.1875,56612.85,median-100-1.6,2,50,13,21.66666667
7,logarithmic,150,1.2,196,0.523974296,-0.293453214,2.92,44640.35,logarithmic-150-1.2,16,25,28,23
4,simple,150,2,198,0.598368759,-0.373735002,3.4,46268.46,simple-150-2.0,14,42,17,24.33333333
12,logarithmic,100,1.6,202,0.586999506,-0.354969183,3.208333333,42186.41,logarithmic-100-1.6,24,17,33,24.66666667
14,simple,125,1.2,197,0.524221453,-0.292690771,2.862745098,45103.39,simple-125-1.2,15,31,30,25.33333333
19,logarithmic,200,1.4,193,0.561295106,-0.237412783,3.020833333,43973.92,logarithmic-200-1.4,18,51,9,26
16,simple,125,1.6,204,0.580573406,-0.264452678,3,46752.43,simple-125-1.6,12,47,22,27
14,logarithmic,100,2,200,0.608749382,-0.414746137,3.255319149,42383.76,logarithmic-100-2.0,22,30,37,29.66666667
12,simple,200,1.4,194,0.558082056,-0.237241719,2.88,40744.07,simple-200-1.4,34,37,20,30.33333333
0,logarithmic,125,2,199,0.603559071,-0.414370232,3.234042553,40758.66,logarithmic-125-2.0,33,32,36,33.66666667
0,logarithmic,50,1.4,205,0.588482452,-0.382836238,3.019607843,42867.8,logarithmic-50-1.4,21,61,21,34.33333333
24,logarithmic,50,1.2,219,0.535590707,-0.400880763,2.590163934,37841.89,logarithmic-50-1.2,54,18,32,34.66666667
9,median,50,1.4,208,0.568462679,-0.229711741,2.851851852,47374.39,median-50-1.4,11,89,8,36
7,simple,100,2,201,0.610479486,-0.416310429,3.276595745,41694.19,simple-100-2.0,26,43,39,36
5,simple,100,1.6,204,0.592189817,-0.403126566,3.163265306,38646.47,simple-100-1.6,48,19,42,36.33333333
23,logarithmic,50,1,197,0.38779041,-0.172304161,1.940298507,38294.3,logarithmic-50-1.0,51,46,14,37
13,logarithmic,100,1.8,200,0.606772121,-0.414746137,3.255319149,39721.77,logarithmic-100-1.8,40,48,24,37.33333333
17,median,150,1.4,197,0.540039545,-0.287325442,3.020408163,48753.12,median-150-1.4,7,94,12,37.66666667
16,simple,50,1,192,0.376173999,-0.171693902,2.047619048,39522.87,simple-50-1.0,44,26,47,39
18,simple,125,2,199,0.601334652,-0.375764673,3.234042553,41414.38,simple-125-2.0,29,56,34,39.66666667
18,median,150,1.6,199,0.565002472,-0.272195463,3.06122449,41537.67,median-150-1.6,28,52,48,42.66666667
23,logarithmic,125,1.6,201,0.586010875,-0.40384353,3.1875,38370.77,logarithmic-125-1.6,50,12,66,42.66666667
19,simple,50,1.6,206,0.617152743,-0.399352982,3.12,40947.73,simple-50-1.6,31,74,26,43.66666667
3,simple,150,1.8,198,0.600346021,-0.390873535,3.212765957,38594.22,simple-150-1.8,49,9,73,43.66666667
22,median,100,1.8,201,0.587988136,-0.394623908,3.276595745,39669.17,median-100-1.8,41,11,82,44.66666667
0,simple,150,1.2,192,0.518289669,-0.314962866,2.622641509,37765.83,simple-150-1.2,55,54,25,44.66666667
12,median,50,2,204,0.616905586,-0.415834374,3.25,42235.1,median-50-2.0,23,84,29,45.33333333
8,median,125,1.8,201,0.58650519,-0.320262226,3.102040816,38967.11,median-125-1.8,45,28,74,49
15,simple,200,2,194,0.594167079,-0.374694275,3.311111111,43650.34,simple-200-2.0,19,82,54,51.66666667
9,logarithmic,100,1,193,0.419673752,-0.252206429,2.271186441,40114.72,logarithmic-100-1.0,38,62,55,51.66666667
11,logarithmic,150,2,197,0.598368759,-0.439767002,3.282608696,35824.77,logarithmic-150-2.0,69,55,31,51.66666667
2,simple,150,1.6,201,0.582056352,-0.307729079,3.102040816,40053.33,simple-150-1.6,39,90,27,52
13,logarithmic,20,1.2,218,0.592436975,-0.392952934,2.892857143,40216.35,logarithmic-20-1.2,37,35,90,54
24,logarithmic,125,1.8,199,0.595897182,-0.355556862,3.234042553,38677,logarithmic-125-1.8,47,53,62,54
