,fast,slow,sig,delay,numSell,exposure,drawdown,winLoss,value,zzz
0,3,6,3,1,348,0.5944142362827484,-0.301063249431695,2.079646017699115,28404.473800000083,3-6-3-1
1,3,6,3,2,129,0.5311418685121108,-0.2737428993561112,2.5833333333333335,18627.97,3-6-3-2
2,3,6,3,3,31,0.45081562036579337,-0.3242729832411896,1.8181818181818181,12160.090600000007,3-6-3-3
3,3,6,4,1,310,0.5976272862086011,-0.26451212774498895,2.263157894736842,28683.623000000076,3-6-4-1
4,3,6,4,2,139,0.5734058329214039,-0.3468606800782071,2.5641025641025643,24674.2017,3-6-4-2
5,3,6,4,3,37,0.6171527434503213,-0.4271174496304031,2.3636363636363638,15676.989000000012,3-6-4-3
6,3,6,5,1,269,0.5820563519525457,-0.32679032227876065,2.3625,28669.73040000003,3-6-5-1
7,3,6,5,2,157,0.5637666831438458,-0.3948373467977477,2.5681818181818183,26130.33190000001,3-6-5-2
8,3,6,5,3,39,0.532377656945131,-0.3346191236655866,3.3333333333333335,25637.099599999994,3-6-5-3
9,3,7,3,1,314,0.5882352941176471,-0.2793887807627895,2.305263157894737,25681.191900000034,3-7-3-1
10,3,7,3,2,136,0.5622837370242214,-0.2740523788441238,2.1627906976744184,19113.870000000006,3-7-3-2
11,3,7,3,3,31,0.4822046465645082,-0.3507260216446874,1.8181818181818181,12217.884700000002,3-7-3-3
12,3,7,4,1,286,0.5847750865051903,-0.29625460898871075,2.3255813953488373,27351.33350000005,3-7-4-1
13,3,7,4,2,150,0.5385565991102323,-0.27359371699640456,2.409090909090909,26087.042600000015,3-7-4-2
14,3,7,4,3,46,0.5721700444883836,-0.32553702111004107,2.8333333333333335,24767.856500000016,3-7-4-3
15,3,7,5,1,249,0.5798319327731093,-0.33584466800671,2.507042253521127,31767.95950000003,3-7-5-1
16,3,7,5,2,153,0.5489372219476025,-0.3993357777172257,2.4,21415.595200000007,3-7-5-2
17,3,7,5,3,38,0.5153237765694513,-0.38129202233803744,2.4545454545454546,13082.453800000012,3-7-5-3
18,3,8,3,1,299,0.5874938210578349,-0.27215801575978577,2.21505376344086,25492.338499999994,3-8-3-1
19,3,8,3,2,140,0.560059317844785,-0.2743816520232505,2.0434782608695654,19452.923300000006,3-8-3-2
20,3,8,3,3,35,0.4757785467128028,-0.2732132088463859,3.375,22719.019200000002,3-8-3-3
21,3,8,4,1,267,0.578843302026693,-0.29810739009854326,2.216867469879518,27883.991700000057,3-8-4-1
22,3,8,4,2,147,0.5434997528423134,-0.28882858168980746,2.5853658536585367,20809.211500000005,3-8-4-2
23,3,8,4,3,47,0.49159663865546216,-0.27334929134612995,2.9166666666666665,24017.10570000002,3-8-4-3
24,3,8,5,1,232,0.5679683638161147,-0.3818835404710651,2.411764705882353,24196.101900000016,3-8-5-1
25,3,8,5,2,152,0.5437469105289174,-0.4452916649585265,2.234042553191489,17867.180700000004,3-8-5-2
26,3,8,5,3,38,0.513840830449827,-0.4106117720903009,1.1111111111111112,11701.533600000008,3-8-5-3
27,3,9,3,1,277,0.5748887790410282,-0.30516029305682973,2.147727272727273,21550.985100000005,3-9-3-1
28,3,9,3,2,134,0.5079090459713297,-0.2744768138861896,2.268292682926829,18825.933700000027,3-9-3-2
29,3,9,3,3,32,0.40336134453781514,-0.2742003658755145,5.4,22432.313900000005,3-9-3-3
30,3,9,4,1,243,0.5687098368759268,-0.3071312091714862,2.2837837837837838,27769.79240000001,3-9-4-1
31,3,9,4,2,136,0.5296589223924864,-0.33720242906208814,2.4871794871794872,17054.0738,3-9-4-2
32,3,9,4,3,42,0.4930795847750865,-0.31900943555370614,2.230769230769231,14662.39850000001,3-9-4-3
33,3,9,5,1,218,0.5657439446366782,-0.3328647431037741,2.40625,24775.251700000033,3-9-5-1
34,3,9,5,2,154,0.5388037567968363,-0.3402689038243555,2.5,19641.20020000002,3-9-5-2
35,3,9,5,3,43,0.44265941670785963,-0.3418882077148379,1.6875,15832.50490000001,3-9-5-3
36,3,10,3,1,258,0.5674740484429066,-0.33219462307655767,2.3947368421052633,21852.603900000027,3-10-3-1
37,3,10,3,2,142,0.5064260998517054,-0.27346709708123246,2.4634146341463414,18856.643700000037,3-10-3-2
38,3,10,3,3,39,0.4322787938704894,-0.31084136331024015,2.9,17257.417,3-10-3-3
39,3,10,4,1,231,0.5583292140385566,-0.32118582689452907,2.164383561643836,25157.613000000038,3-10-4-1
40,3,10,4,2,138,0.5088976767177459,-0.3680654167705234,2.3658536585365852,16374.964299999985,3-10-4-2
41,3,10,4,3,39,0.43252595155709345,-0.27829949481201377,1.6,12167.209800000002,3-10-4-3
42,3,10,5,1,211,0.5652496292634701,-0.3171273289508071,2.5166666666666666,23499.91220000002,3-10-5-1
43,3,10,5,2,150,0.5358378645575878,-0.37045438942516623,2.3333333333333335,18889.740100000035,3-10-5-2
44,3,10,5,3,50,0.3680177953534355,-0.34336012219767514,2.8461538461538463,16586.05520000001,3-10-5-3
45,3,12,3,1,233,0.5491843796342066,-0.32287758585025583,2.191780821917808,21118.915200000014,3-12-3-1
46,3,12,3,2,129,0.5143351458230351,-0.31361631586393474,2.3076923076923075,15866.863000000028,3-12-3-2
47,3,12,3,3,34,0.374938210578349,-0.3258087501781391,2.090909090909091,12122.878700000003,3-12-3-3
48,3,12,4,1,211,0.5583292140385566,-0.3027991471115341,2.767857142857143,25840.012400000014,3-12-4-1
49,3,12,4,2,143,0.5405338606030647,-0.36610341912280303,2.3255813953488373,18984.574700000023,3-12-4-2
50,3,12,4,3,46,0.4199209095402867,-0.3167245793198841,2.066666666666667,14085.090000000004,3-12-4-3
51,3,12,5,1,194,0.5551161641127039,-0.29867712934938434,2.5272727272727273,25617.408600000002,3-12-5-1
52,3,12,5,2,135,0.5017301038062284,-0.36752187037874456,2.0,17326.207600000016,3-12-5-2
53,3,12,5,3,47,0.36035590706870985,-0.307778604640753,2.6153846153846154,14385.430000000008,3-12-5-3
54,3,14,3,1,209,0.5380622837370242,-0.30324258132436793,2.370967741935484,22757.37430000003,3-14-3-1
55,3,14,3,2,117,0.504695996045477,-0.2567815082540195,3.0344827586206895,17123.90330000001,3-14-3-2
56,3,14,3,3,36,0.40657439446366783,-0.34268096201418596,2.272727272727273,14737.881100000004,3-14-3-3
57,3,14,4,1,193,0.5459713297083539,-0.28741974882769505,2.784313725490196,26992.151600000012,3-14-4-1
58,3,14,4,2,132,0.518536826495304,-0.30334640462972684,2.6666666666666665,21203.94460000002,3-14-4-2
59,3,14,4,3,42,0.4139891250617894,-0.2915498638980448,1.8,16413.250000000004,3-14-4-3
