,fast,slow,sig,delay,numSell,exposure,drawdown,winLoss,value,zzz
7,11,12,11,2,13,0.592050209,-0.07666548,12,14310.54,11-12-11-2
44,13,14,9,1,13,0.585774059,-0.08408547,12,14302.23,13-14-9-1
60,9,12,9,3,12,0.571129707,-0.052142971,inf,14191.58,9-12-9-3
30,9,17,3,3,11,0.445606695,-0.050376972,10,14137.54,9-17-3-3
77,9,14,7,4,10,0.512552301,-0.052056647,inf,14127.64,9-14-7-4
2,9,14,9,3,12,0.592050209,-0.052052168,11,14088.95,9-14-9-3
23,11,14,9,2,13,0.59623431,-0.08584947,12,14060.82,11-14-9-2
39,11,16,7,2,13,0.594142259,-0.08584947,12,14016.96,11-16-7-2
36,11,16,5,3,13,0.562761506,-0.07666548,5.5,14016.85,11-16-5-3
21,11,14,7,4,5,0.646443515,-0.058189913,inf,14009.36,11-14-7-4
51,11,19,3,2,13,0.564853556,-0.08850666,12,13929.24,11-19-3-2
72,9,14,5,3,12,0.569037657,-0.058313529,inf,13893.46,9-14-5-3
61,9,12,9,4,8,0.606694561,-0.052299078,inf,13879.59,9-12-9-4
8,11,12,11,3,12,0.623430962,-0.058189913,11,13868.95,11-12-11-3
42,11,16,9,1,13,0.592050209,-0.08408547,12,13831.77,11-16-9-1
60,13,17,7,1,13,0.612970711,-0.08850666,12,13792.98,13-17-7-1
22,9,15,9,3,11,0.571129707,-0.052018273,inf,13760.84,9-15-9-3
42,13,14,7,3,10,0.435146444,-0.056308549,9,13710.48,13-14-7-3
52,13,17,3,1,14,0.579497908,-0.08584947,13,13704.46,13-17-3-1
42,9,17,9,3,11,0.493723849,-0.052296651,10,13680.15,9-17-9-3
37,13,14,5,2,14,0.592050209,-0.08584947,6,13678.08,13-14-5-2
77,11,12,7,2,15,0.581589958,-0.08584947,4,13675.7,11-12-7-2
64,9,12,11,3,11,0.594142259,-0.052168565,inf,13652.45,9-12-11-3
56,13,17,5,1,13,0.592050209,-0.08850666,12,13637.64,13-17-5-1
65,9,12,11,4,8,0.458158996,-0.052265829,inf,13622.55,9-12-11-4
35,11,16,5,2,14,0.587866109,-0.08584947,6,13614.57,11-16-5-2
20,11,14,7,3,11,0.548117155,-0.07666548,10,13607.63,11-14-7-3
50,11,19,3,1,14,0.566945607,-0.08850666,13,13600.78,11-19-3-1
43,11,16,9,2,13,0.59623431,-0.08584947,12,13581.2,11-16-9-2
19,11,14,7,2,13,0.592050209,-0.08584947,12,13575.38,11-14-7-2
24,11,14,9,3,12,0.619246862,-0.07666548,5,13565.89,11-14-9-3
5,9,14,11,2,12,0.558577406,-0.08584947,11,13559.34,9-14-11-2
3,9,14,9,4,9,0.608786611,-0.052160678,inf,13556.71,9-14-9-4
76,9,14,7,3,11,0.539748954,-0.05209019,inf,13546.69,9-14-7-3
68,11,12,3,1,17,0.571129707,-0.08408547,7.5,13531.23,11-12-3-1
56,11,19,5,3,10,0.558577406,-0.058181104,9,13502.5,11-19-5-3
4,5,6,3,3,2,0.405857741,-0.040548494,inf,13492.15,5-6-3-3
41,13,14,7,2,13,0.610878661,-0.08584947,5.5,13482.05,13-14-7-2
45,9,10,11,4,6,0.525104603,-0.052106649,inf,13481.76,9-10-11-4
49,13,14,11,2,12,0.594142259,-0.058313529,5,13479.87,13-14-11-2
76,11,12,7,1,15,0.566945607,-0.08408547,4,13473.95,11-12-7-1
72,13,20,3,1,13,0.571129707,-0.08850666,12,13473.76,13-20-3-1
40,11,16,7,3,12,0.627615063,-0.07666548,11,13457.83,11-16-7-3
