,avgType,windowSlow,windowFast,steepness,fast,slow,sig,delay,numBuy,numSell,avgEarn,value
0,exponential,100,40,3,2,10,10,2,128,127,0.008329116932691186,26224.732700000004
1,exponential,100,30,5,2,10,10,2,128,127,0.00872001171448653,27611.422300000013
2,exponential,175,10,4,4,19,4,2,130,129,0.005652292759475849,18215.988000000016
3,logarithmic,75,20,5,6,10,4,3,87,87,0.007043764665389414,17118.094999999994
4,exponential,175,30,3,2,10,10,2,124,123,0.009088249728200808,28033.05220000002
5,exponential,175,20,5,2,10,10,2,123,122,0.008414192922278282,25599.692900000027
6,logarithmic,75,20,4,6,10,4,3,87,87,0.006723575504097157,16641.275199999982
7,logarithmic,75,20,3,6,10,4,3,87,87,0.007338401145434568,17586.4849
8,exponential,100,10,4,4,19,4,2,133,133,0.003194954771570462,14238.534200000011
9,exponential,100,40,3,4,19,4,2,131,130,0.004799637307774836,16466.663800000024
10,exponential,75,10,4,2,10,10,2,132,132,0.0045942272771159485,16829.955299999994
11,exponential,75,40,4,2,10,10,2,127,126,0.008505268882167419,26678.057600000036
12,logarithmic,75,10,5,4,7,4,2,195,194,0.005467397218796741,26775.755000000005
13,exponential,75,40,2,2,10,10,2,129,128,0.0070795625410625465,22547.13370000002
14,exponential,75,30,4,2,10,10,2,128,127,0.008535994817253954,26959.05250000001
15,exponential,100,30,5,4,19,4,2,131,130,0.00540608024132561,17870.093100000016
16,logarithmic,100,30,3,6,10,4,3,85,85,0.005794557390938308,14636.015800000003
17,exponential,175,10,5,2,10,10,2,125,124,0.008770164706348985,27031.797499999997
18,exponential,100,10,4,2,10,10,2,129,129,0.00662259863037379,21810.46400000004
19,exponential,75,40,5,2,10,10,2,128,127,0.00814695887966448,25621.052900000035
20,logarithmic,100,30,4,6,10,4,3,85,85,0.005544175566270798,14271.565900000001
21,exponential,175,40,3,2,10,10,2,123,122,0.00647031777572726,19892.17450000002
22,exponential,175,10,4,2,13,8,2,123,122,0.00982649099616983,30092.89650000002
23,exponential,100,40,3,2,13,8,2,124,123,0.009207696642922683,28208.502000000055
24,exponential,175,30,5,2,10,10,2,123,122,0.006220239460105575,19203.304700000022
25,exponential,100,10,3,4,19,4,2,137,137,0.0033406755755423334,14628.9238
26,logarithmic,100,10,1,6,10,4,3,86,86,0.006049023829516329,15042.255699999989
27,logarithmic,100,30,5,6,10,4,3,85,85,0.005466511287096905,14174.3459
28,exponential,175,10,5,4,19,4,2,128,127,0.0037005354096871436,13735.381600000004
29,exponential,75,20,3,2,10,10,2,129,129,0.006614597499934487,21667.414000000015
30,exponential,175,10,4,2,10,10,2,126,125,0.008877669181877825,27666.66730000002
31,exponential,150,30,4,2,10,10,2,125,124,0.009536537501965264,29850.951700000027
32,exponential,100,10,5,4,19,4,2,133,133,0.003807325717411311,15467.7838
33,exponential,100,30,5,2,13,8,2,124,123,0.009610709077677741,29730.551600000024
34,logarithmic,75,30,1,6,10,4,3,87,87,0.005165255986468852,13916.645999999992
35,exponential,75,10,5,2,10,10,2,132,132,0.005569999078687194,19110.354800000012
36,logarithmic,100,20,1,6,10,4,3,85,85,0.00584919551240473,14665.485799999999
37,exponential,175,30,4,2,10,10,2,123,122,0.006575966573118873,20172.50440000001
38,exponential,100,30,2,2,10,10,2,131,130,0.00775250778768433,24837.83310000003
39,exponential,150,40,3,2,10,10,2,125,124,0.009000050702517562,27906.052200000035
40,exponential,100,10,5,2,10,10,2,129,129,0.007240480872764604,23562.053500000027
41,exponential,75,40,5,4,19,4,2,130,129,0.004355653978393758,15384.044200000006
0,exponential,75,30,5,2,10,10,2,128,127,0.008354243555797728,26358.512700000018
1,exponential,100,40,5,2,10,10,2,125,124,0.008775249156377967,27196.822400000023
2,exponential,125,20,2,2,10,10,2,130,130,0.007323331036921158,24047.873400000026
3,logarithmic,100,10,3,6,10,4,3,87,87,0.005453921285071709,14558.125799999985
4,exponential,150,10,5,2,13,8,2,123,122,0.009813724244760569,30075.416500000025
5,exponential,150,30,5,2,10,10,2,124,123,0.008582129708686555,26227.082700000024
6,exponential,175,40,5,2,10,10,2,122,121,0.0067102273166605485,20381.024300000016
7,logarithmic,75,20,2,6,10,4,3,88,88,0.007338732788583419,17705.124899999995
8,logarithmic,175,10,2,6,10,4,3,85,85,0.005692631518565027,14473.075799999986
9,exponential,175,20,4,2,10,10,2,124,123,0.008285908169026308,25323.75290000002
10,exponential,150,10,5,2,10,10,2,126,125,0.008865208832502386,27640.25730000002
11,logarithmic,100,30,2,6,10,4,3,85,85,0.005510967060858289,14250.145899999992
12,exponential,100,10,3,2,10,10,2,132,132,0.006343031423278188,21361.564000000013
13,exponential,150,10,5,4,19,4,2,130,129,0.005328904144864388,17414.998299999985
14,exponential,175,10,5,2,13,8,2,122,121,0.009728327265266458,29453.336699999996
15,logarithmic,175,10,1,6,10,4,3,85,85,0.005335306218725646,14043.125899999994
16,logarithmic,75,40,3,6,10,4,3,87,87,0.005708732478112202,14582.635799999995
