,avgType,windowSlow,windowFast,steepness,fast,slow,sig,delay,numBuy,numSell,avgEarn,value
0,exponential,100,40,3,2,10,10,2,123,123,0.009710147572190204,28411.27000000002
1,exponential,100,30,5,2,10,10,2,123,123,0.009831363472740745,28952.63000000002
2,exponential,175,10,4,4,19,4,2,139,139,0.007505585187066544,24215.27500000002
3,logarithmic,75,20,5,6,10,4,3,82,81,0.017403138723529676,34112.683
4,exponential,175,30,3,2,10,10,2,119,119,0.008899518103653725,25281.890000000014
5,exponential,175,20,5,2,10,10,2,117,117,0.008196931081167102,22867.210000000006
6,logarithmic,75,20,4,6,10,4,3,82,81,0.017196501312370167,33510.484000000004
7,logarithmic,75,20,3,6,10,4,3,82,81,0.017317805467099493,35053.66899999999
8,exponential,100,10,4,4,19,4,2,144,143,0.006808109790375204,21484.619999999988
9,exponential,100,40,3,4,19,4,2,138,138,0.008171119234636832,26733.000000000015
10,exponential,75,10,4,2,10,10,2,133,132,0.009520388064625516,28836.32999999998
11,exponential,75,40,4,2,10,10,2,123,123,0.009915247772197282,29194.079999999994
12,logarithmic,75,10,5,4,7,4,2,194,193,0.005287429816855319,23520.14210000003
13,exponential,75,40,2,2,10,10,2,128,127,0.009831873791587122,28660.280000000028
14,exponential,75,30,4,2,10,10,2,123,123,0.009523889628762898,27976.750000000015
15,exponential,100,30,5,4,19,4,2,137,137,0.008254466595933065,26887.269999999997
16,logarithmic,100,30,3,6,10,4,3,83,82,0.017272637654702695,32747.711000000007
17,exponential,175,10,5,2,10,10,2,122,122,0.008811123829261164,25471.810000000023
18,exponential,100,10,4,2,10,10,2,129,128,0.008686520921791938,24822.91
19,exponential,75,40,5,2,10,10,2,123,123,0.0106028191117571,32053.60000000003
20,logarithmic,100,30,4,6,10,4,3,83,82,0.017043189082228617,32100.877
21,exponential,175,40,3,2,10,10,2,117,117,0.009119036191969599,25488.480000000043
22,exponential,175,10,4,2,13,8,2,125,125,0.009617929932352935,28607.917000000016
23,exponential,100,40,3,2,13,8,2,123,123,0.009393578355376072,27336.840000000007
24,exponential,175,30,5,2,10,10,2,116,115,0.009563232684872027,24009.250000000004
25,exponential,100,10,3,4,19,4,2,145,144,0.0069999489185230985,22259.29499999999
