,avgType,windowSlow,windowFast,steepness,fast,slow,sig,delay,numBuy,numSell,avgEarn,value
0,logarithmic,50,20,2,4,19,12,6,5,5,0.03937751902070473,12035.810000000001
1,logarithmic,50,20,3,4,19,12,6,5,5,0.03597380587909569,11831.949999999999
2,logarithmic,50,20,4,4,19,12,6,5,5,0.035755385784447,11821.27
3,logarithmic,50,20,5,4,19,12,6,5,5,0.03983925586804299,12058.330000000004
4,logarithmic,50,20,1,4,19,14,1,102,101,0.004871775062238674,14760.73
5,logarithmic,50,20,2,4,19,14,1,103,102,0.0038369461296307032,13163.969999999992
6,logarithmic,50,20,3,4,19,14,1,104,103,0.003826521917273211,13178.649999999989
7,logarithmic,50,20,4,4,19,14,1,103,102,0.006531080282114663,17555.410000000003
8,logarithmic,50,20,5,4,19,14,1,104,103,0.006617587791687351,17843.320000000003
9,logarithmic,50,20,1,4,19,14,2,98,97,0.0055790320932208376,15365.564999999988
10,logarithmic,50,20,2,4,19,14,2,97,96,0.005297735647612553,14596.594999999987
11,logarithmic,50,20,3,4,19,14,2,98,97,0.005335564303334892,14776.174999999994
12,logarithmic,50,20,4,4,19,14,2,98,97,0.007401571585619937,18342.209999999992
13,logarithmic,50,20,5,4,19,14,2,98,97,0.007974802215942068,19371.075
14,logarithmic,50,20,1,4,19,14,3,73,73,0.002778056378088685,11469.940000000002
15,logarithmic,50,20,2,4,19,14,3,73,73,0.0027430227665362302,11478.390000000009
16,logarithmic,50,20,3,4,19,14,3,74,74,0.0028165459597999697,11508.120000000003
17,logarithmic,50,20,4,4,19,14,3,74,74,0.005356395071714699,14073.640000000003
18,logarithmic,50,20,5,4,19,14,3,74,74,0.0061054975979773825,14931.929999999997
19,logarithmic,50,20,1,4,19,14,4,31,31,0.0089271301076188,12651.750000000007
20,logarithmic,50,20,2,4,19,14,4,33,33,0.008998191171202558,12762.190000000004
21,logarithmic,50,20,3,4,19,14,4,33,33,0.007896006887911483,12283.530000000004
22,logarithmic,50,20,4,4,19,14,4,33,33,0.011354613313102429,13867.010000000004
23,logarithmic,50,20,5,4,19,14,4,31,31,0.012251876228066559,14131.130000000001
24,logarithmic,50,20,1,4,19,14,5,16,16,0.006607910190969875,10963.009999999995
25,logarithmic,50,20,2,4,19,14,5,16,16,0.011056561419684429,11792.550000000001
26,logarithmic,50,20,3,4,19,14,5,16,16,0.008280565251173705,11281.1
27,logarithmic,50,20,4,4,19,14,5,16,16,0.008982701883896813,11419.59
28,logarithmic,50,20,5,4,19,14,5,16,16,0.011671098016046027,11930.29
29,logarithmic,50,20,1,4,19,14,6,7,7,0.006602849098559566,10391.249999999996
30,logarithmic,50,20,2,4,19,14,6,7,7,0.008986980570477547,10559.199999999999
31,logarithmic,50,20,3,4,19,14,6,7,7,0.002654600499660344,10105.609999999997
32,logarithmic,50,20,4,4,19,14,6,7,7,0.00249858614633985,10094.929999999998
33,logarithmic,50,20,5,4,19,14,6,7,7,0.005415636206051268,10293.8
34,logarithmic,50,20,1,4,22,2,1,0,0,,10000.0
35,logarithmic,50,20,2,4,22,2,1,0,0,,10000.0
36,logarithmic,50,20,3,4,22,2,1,0,0,,10000.0
37,logarithmic,50,20,4,4,22,2,1,0,0,,10000.0
38,logarithmic,50,20,5,4,22,2,1,0,0,,10000.0
39,logarithmic,50,20,1,4,22,2,2,0,0,,10000.0
40,logarithmic,50,20,2,4,22,2,2,0,0,,10000.0
41,logarithmic,50,20,3,4,22,2,2,0,0,,10000.0
42,logarithmic,50,20,4,4,22,2,2,0,0,,10000.0
43,logarithmic,50,20,5,4,22,2,2,0,0,,10000.0
44,logarithmic,50,20,1,4,22,2,3,0,0,,10000.0
45,logarithmic,50,20,2,4,22,2,3,0,0,,10000.0
46,logarithmic,50,20,3,4,22,2,3,0,0,,10000.0
47,logarithmic,50,20,4,4,22,2,3,0,0,,10000.0
48,logarithmic,50,20,5,4,22,2,3,0,0,,10000.0
49,logarithmic,50,20,1,4,22,2,4,0,0,,10000.0
50,logarithmic,50,20,2,4,22,2,4,0,0,,10000.0
51,logarithmic,50,20,3,4,22,2,4,0,0,,10000.0
52,logarithmic,50,20,4,4,22,2,4,0,0,,10000.0
53,logarithmic,50,20,5,4,22,2,4,0,0,,10000.0
54,logarithmic,50,20,1,4,22,2,5,0,0,,10000.0
55,logarithmic,50,20,2,4,22,2,5,0,0,,10000.0
56,logarithmic,50,20,3,4,22,2,5,0,0,,10000.0
57,logarithmic,50,20,4,4,22,2,5,0,0,,10000.0
58,logarithmic,50,20,5,4,22,2,5,0,0,,10000.0
59,logarithmic,50,20,1,4,22,2,6,0,0,,10000.0
60,logarithmic,50,20,2,4,22,2,6,0,0,,10000.0
61,logarithmic,50,20,3,4,22,2,6,0,0,,10000.0
62,logarithmic,50,20,4,4,22,2,6,0,0,,10000.0
63,logarithmic,50,20,5,4,22,2,6,0,0,,10000.0
64,logarithmic,50,20,1,4,22,4,1,169,168,0.005617654100636017,21241.85
65,logarithmic,50,20,2,4,22,4,1,169,168,0.005195614809763068,19790.0
66,logarithmic,50,20,3,4,22,4,1,170,169,0.004975236882635517,19155.720000000012
67,logarithmic,50,20,4,4,22,4,1,170,169,0.00713522030708997,27956.02
68,logarithmic,50,20,5,4,22,4,1,171,170,0.007126700452637178,28047.419999999995
69,logarithmic,50,20,1,4,22,4,2,129,128,0.005019722945266483,16115.42999999998
70,logarithmic,50,20,2,4,22,4,2,129,128,0.0044294444066116,14938.009999999991
71,logarithmic,50,20,3,4,22,4,2,129,128,0.003943027560455194,14034.80999999998
