,avgType,windowSlow,windowFast,steepness,stdev,numSell,exposure,drawdown,winLoss,value,zzz
0,logarithmic,100,40,1,1.2,71,0.3098417408506429,-0.19264174788070412,4.071428571428571,18623.13839999999,logarithmic-100-40-1-1.2
1,logarithmic,100,40,2,1.2,67,0.293026706231454,-0.1917335495332991,3.466666666666667,16562.196800000005,logarithmic-100-40-2-1.2
2,logarithmic,100,40,3,1.2,65,0.28536102868447083,-0.1917335495332991,3.642857142857143,16244.809600000008,logarithmic-100-40-3-1.2
3,logarithmic,100,40,4,1.2,62,0.2858555885262117,-0.1917335495332991,3.4285714285714284,16012.226100000007,logarithmic-100-40-4-1.2
4,logarithmic,100,40,5,1.2,62,0.2858555885262117,-0.1917335495332991,3.4285714285714284,16012.226100000007,logarithmic-100-40-5-1.2
5,logarithmic,100,40,1,1.4,72,0.312809099901088,-0.2581399421601434,4.142857142857143,17956.421199999997,logarithmic-100-40-1-1.4
6,logarithmic,100,40,2,1.4,68,0.2952522255192878,-0.28536396592611785,3.533333333333333,14952.948800000002,logarithmic-100-40-2-1.4
7,logarithmic,100,40,3,1.4,66,0.2959940652818991,-0.27444043067289037,3.7142857142857144,15796.552499999996,logarithmic-100-40-3-1.4
8,logarithmic,100,40,4,1.4,63,0.2880811078140455,-0.27444043067289037,3.5,14454.588099999997,logarithmic-100-40-4-1.4
9,logarithmic,100,40,5,1.4,63,0.2880811078140455,-0.27444043067289037,3.5,14454.588099999997,logarithmic-100-40-5-1.4
10,logarithmic,100,40,1,1.6,73,0.31602373887240354,-0.25677594779954477,4.214285714285714,20801.863600000022,logarithmic-100-40-1-1.6
11,logarithmic,100,40,2,1.6,69,0.3076162215628091,-0.2578593816537061,3.6,19911.426299999992,logarithmic-100-40-2-1.6
12,logarithmic,100,40,3,1.6,67,0.2997032640949555,-0.2578593816537061,3.7857142857142856,17579.094,logarithmic-100-40-3-1.6
13,logarithmic,100,40,4,1.6,64,0.29179030662710187,-0.2578593816537061,3.5714285714285716,16108.396100000009,logarithmic-100-40-4-1.6
14,logarithmic,100,40,5,1.6,65,0.29277942631058357,-0.25823169709913985,3.642857142857143,16213.339600000007,logarithmic-100-40-5-1.6
15,logarithmic,100,40,1,1.8,73,0.3249258160237389,-0.25677594779954477,4.214285714285714,19784.6428,logarithmic-100-40-1-1.8
16,logarithmic,100,40,2,1.8,70,0.30909990108803165,-0.25823169709913985,3.6666666666666665,17654.16759999999,logarithmic-100-40-2-1.8
17,logarithmic,100,40,3,1.8,68,0.30217606330365976,-0.2572483386660102,3.857142857142857,18894.4484,logarithmic-100-40-3-1.8
18,logarithmic,100,40,4,1.8,66,0.2969831849653808,-0.2572483386660102,3.4,18053.4677,logarithmic-100-40-4-1.8
19,logarithmic,100,40,5,1.8,66,0.2972304648862512,-0.2572483386660102,3.4,17724.19410000001,logarithmic-100-40-5-1.8
20,logarithmic,125,10,1,1.0,56,0.24752720079129575,-0.09291009812623151,3.0,17056.560000000012,logarithmic-125-10-1-1.0
21,logarithmic,125,10,2,1.0,44,0.19708209693372897,-0.10080309100869143,2.3846153846153846,14204.210000000008,logarithmic-125-10-2-1.0
22,logarithmic,125,10,3,1.0,39,0.17433234421364985,-0.09302251762788334,2.9,14656.030000000008,logarithmic-125-10-3-1.0
23,logarithmic,125,10,4,1.0,36,0.15281899109792285,-0.07667289065909769,3.5,15959.130000000006,logarithmic-125-10-4-1.0
24,logarithmic,125,10,5,1.0,36,0.15281899109792285,-0.07667289065909769,3.5,15959.130000000006,logarithmic-125-10-5-1.0
25,logarithmic,125,10,1,1.2,57,0.2509891196834817,-0.09316205997343095,3.3846153846153846,18605.109999999993,logarithmic-125-10-1-1.2
26,logarithmic,125,10,2,1.2,44,0.19757665677546984,-0.10088636638087178,2.3846153846153846,14623.370000000008,logarithmic-125-10-2-1.2
27,logarithmic,125,10,3,1.2,39,0.17729970326409494,-0.09303918105908521,2.9,14520.110000000011,logarithmic-125-10-3-1.2
28,logarithmic,125,10,4,1.2,36,0.15578635014836795,-0.07671048226332688,3.5,15806.660000000007,logarithmic-125-10-4-1.2
29,logarithmic,125,10,5,1.2,36,0.15578635014836795,-0.07671048226332688,3.5,15806.660000000007,logarithmic-125-10-5-1.2
30,logarithmic,125,10,1,1.4,59,0.2551928783382789,-0.10052908368765788,2.933333333333333,18043.940000000006,logarithmic-125-10-1-1.4
31,logarithmic,125,10,2,1.4,45,0.20276953511374876,-0.10080846420819257,2.4615384615384617,14713.35000000001,logarithmic-125-10-2-1.4
32,logarithmic,125,10,3,1.4,40,0.17828882294757667,-0.100747675529386,2.6363636363636362,14406.060000000016,logarithmic-125-10-3-1.4
33,logarithmic,125,10,4,1.4,37,0.15677546983184965,-0.08070108098090384,3.111111111111111,15665.490000000016,logarithmic-125-10-4-1.4
34,logarithmic,125,10,5,1.4,37,0.15677546983184965,-0.08070108098090384,3.111111111111111,15665.490000000016,logarithmic-125-10-5-1.4
35,logarithmic,125,10,1,1.6,61,0.26607319485657766,-0.08061164739932729,3.6923076923076925,20991.19000000003,logarithmic-125-10-1-1.6
36,logarithmic,125,10,2,1.6,47,0.2109297725024728,-0.10046894626117105,2.9166666666666665,15637.760000000011,logarithmic-125-10-2-1.6
37,logarithmic,125,10,3,1.6,42,0.18644906033630068,-0.08045850269899105,3.2,15319.070000000007,logarithmic-125-10-3-1.6
38,logarithmic,125,10,4,1.6,39,0.16493570722057369,-0.08074385337751827,3.875,16684.65000000001,logarithmic-125-10-4-1.6
39,logarithmic,125,10,5,1.6,40,0.1661721068249258,-0.08074385337751827,3.4444444444444446,16325.620000000012,logarithmic-125-10-5-1.6
0,logarithmic,125,10,1,1.8,62,0.2675568743818002,-0.08061164739932729,3.4285714285714284,20718.750000000007,logarithmic-125-10-1-1.8
1,logarithmic,125,10,2,1.8,49,0.2138971315529179,-0.11232814577108528,2.5,15516.60000000001,logarithmic-125-10-2-1.8
2,logarithmic,125,10,3,1.8,44,0.18966369930761623,-0.08042004130113205,2.6666666666666665,15393.52000000002,logarithmic-125-10-3-1.8
3,logarithmic,125,10,4,1.8,41,0.1681503461918892,-0.08059435917927325,3.1,16751.31000000001,logarithmic-125-10-4-1.8
4,logarithmic,125,10,5,1.8,41,0.1681503461918892,-0.08059435917927325,3.1,16751.31000000001,logarithmic-125-10-5-1.8
5,logarithmic,125,20,1,1.0,75,0.3353115727002967,-0.1264180159859652,5.25,25856.337200000016,logarithmic-125-20-1-1.0
6,logarithmic,125,20,2,1.0,71,0.33259149357072204,-0.12658493741324456,4.916666666666667,24011.49670000002,logarithmic-125-20-2-1.0
7,logarithmic,125,20,3,1.0,68,0.32146389713155293,-0.17002581165815872,4.666666666666667,21746.17600000002,logarithmic-125-20-3-1.0
8,logarithmic,125,20,4,1.0,66,0.3044015825914936,-0.1266931190990266,5.0,23259.336500000027,logarithmic-125-20-4-1.0
9,logarithmic,125,20,5,1.0,65,0.30390702274975273,-0.09943085096132218,4.909090909090909,23064.396400000016,logarithmic-125-20-5-1.0
10,logarithmic,125,20,1,1.2,75,0.33728981206726016,-0.12653656060085697,5.25,25841.14720000002,logarithmic-125-20-1-1.2
11,logarithmic,125,20,2,1.2,73,0.3365479723046489,-0.12680982302415408,5.083333333333333,25597.837100000022,logarithmic-125-20-2-1.2
12,logarithmic,125,20,3,1.2,70,0.3283877349159248,-0.12672053665651364,5.363636363636363,24924.086900000006,logarithmic-125-20-3-1.2
13,logarithmic,125,20,4,1.2,68,0.3098417408506429,-0.1267056693272569,5.8,26032.25720000002,logarithmic-125-20-4-1.2
14,logarithmic,125,20,5,1.2,67,0.3093471810089021,-0.09974600781311403,5.7,25828.167200000014,logarithmic-125-20-5-1.2
15,logarithmic,125,20,1,1.4,77,0.34223541048466866,-0.12666936124545275,5.416666666666667,27665.06770000002,logarithmic-125-20-1-1.4
16,logarithmic,125,20,2,1.4,74,0.3405044510385757,-0.12661282283544759,5.166666666666667,27232.957600000023,logarithmic-125-20-2-1.4
17,logarithmic,125,20,3,1.4,71,0.33160237388724034,-0.1265736928204509,5.454545454545454,26360.5473,logarithmic-125-20-3-1.4
18,logarithmic,125,20,4,1.4,69,0.312809099901088,-0.1268131241206319,5.9,27161.357600000003,logarithmic-125-20-4-1.4
19,logarithmic,125,20,5,1.4,68,0.31231454005934717,-0.09943154913322827,5.8,26913.60750000002,logarithmic-125-20-5-1.4
20,logarithmic,125,20,1,1.6,78,0.3449554896142433,-0.12666936124545275,5.5,29130.308100000017,logarithmic-125-20-1-1.6
21,logarithmic,125,20,2,1.6,75,0.34322453016815035,-0.12661282283544759,5.25,28697.54800000001,logarithmic-125-20-2-1.6
22,logarithmic,125,20,3,1.6,72,0.334322453016815,-0.1265736928204509,5.545454545454546,27784.477699999996,logarithmic-125-20-3-1.6
23,logarithmic,125,20,4,1.6,70,0.3155291790306627,-0.1268131241206319,6.0,28581.227999999985,logarithmic-125-20-4-1.6
24,logarithmic,125,20,5,1.6,70,0.31627101879327396,-0.10467171466893971,5.363636363636363,28172.337800000005,logarithmic-125-20-5-1.6
25,logarithmic,125,20,1,1.8,79,0.3479228486646884,-0.12059274827206742,5.583333333333333,29759.1883,logarithmic-125-20-1-1.8
26,logarithmic,125,20,2,1.8,76,0.34619188921859545,-0.12059274827206742,5.333333333333333,29250.738100000006,logarithmic-125-20-2-1.8
27,logarithmic,125,20,3,1.8,73,0.33728981206726016,-0.12059274827206742,5.636363636363637,28359.757900000008,logarithmic-125-20-3-1.8
28,logarithmic,125,20,4,1.8,71,0.31849653808110784,-0.1089958999833557,6.1,29177.888100000007,logarithmic-125-20-4-1.8
29,logarithmic,125,20,5,1.8,70,0.3209693372898121,-0.0815124382976286,6.0,28639.248,logarithmic-125-20-5-1.8
30,logarithmic,125,30,1,1.0,66,0.28486646884273,-0.12741365081351325,4.076923076923077,19010.426500000005,logarithmic-125-30-1-1.0
31,logarithmic,125,30,2,1.0,68,0.30192878338278933,-0.12646909541505136,4.230769230769231,20731.526300000012,logarithmic-125-30-2-1.0
32,logarithmic,125,30,3,1.0,67,0.3004451038575668,-0.12634270142943124,4.583333333333333,21122.15990000002,logarithmic-125-30-3-1.0
33,logarithmic,125,30,4,1.0,66,0.2984668644906034,-0.1269328802039083,4.5,20823.76630000001,logarithmic-125-30-4-1.0
34,logarithmic,125,30,5,1.0,66,0.2984668644906034,-0.1269328802039083,4.5,20823.76630000001,logarithmic-125-30-5-1.0
35,logarithmic,125,30,1,1.2,66,0.29376854599406527,-0.12725937696616066,4.076923076923077,20218.89700000002,logarithmic-125-30-1-1.2
36,logarithmic,125,30,2,1.2,68,0.30316518298714146,-0.1269301125971933,4.230769230769231,20644.199300000004,logarithmic-125-30-2-1.2
37,logarithmic,125,30,3,1.2,68,0.3024233432245302,-0.12639872361500476,4.666666666666667,21714.137100000025,logarithmic-125-30-3-1.2
38,logarithmic,125,30,4,1.2,67,0.3004451038575668,-0.12653807344337684,4.583333333333333,21442.513500000012,logarithmic-125-30-4-1.2
39,logarithmic,125,30,5,1.2,67,0.3004451038575668,-0.12653807344337684,4.583333333333333,21442.513500000012,logarithmic-125-30-5-1.2
0,logarithmic,125,30,1,1.4,66,0.29376854599406527,-0.12725937696616066,4.076923076923077,20218.89700000002,logarithmic-125-30-1-1.4
1,logarithmic,125,30,2,1.4,68,0.3034124629080119,-0.12634546194844967,4.230769230769231,20390.582700000028,logarithmic-125-30-2-1.4
2,logarithmic,125,30,3,1.4,70,0.3044015825914936,-0.1265512458087008,4.833333333333333,21983.737100000028,logarithmic-125-30-3-1.4
3,logarithmic,125,30,4,1.4,69,0.30514342235410485,-0.12636180777431902,4.75,22629.33430000001,logarithmic-125-30-4-1.4
4,logarithmic,125,30,5,1.4,69,0.3073689416419387,-0.12659092430698318,4.75,22941.557900000007,logarithmic-125-30-5-1.4
5,logarithmic,125,30,1,1.6,68,0.2987141444114738,-0.12738416009074455,4.230769230769231,21677.534500000023,logarithmic-125-30-1-1.6
6,logarithmic,125,30,2,1.6,70,0.3083580613254204,-0.1264707783197296,4.384615384615385,21865.75710000002,logarithmic-125-30-2-1.6
7,logarithmic,125,30,3,1.6,70,0.3093471810089021,-0.12657107302277631,4.833333333333333,23247.461500000012,logarithmic-125-30-3-1.6
8,logarithmic,125,30,4,1.6,69,0.3073689416419387,-0.12659092430698318,4.75,22941.557900000007,logarithmic-125-30-4-1.6
9,logarithmic,125,30,5,1.6,69,0.3073689416419387,-0.12659092430698318,4.75,22941.557900000007,logarithmic-125-30-5-1.6
10,logarithmic,125,30,1,1.8,69,0.3026706231454006,-0.12129826495342148,4.3076923076923075,22071.42800000003,logarithmic-125-30-1-1.8
11,logarithmic,125,30,2,1.8,71,0.31429277942631056,-0.12125417524120738,4.461538461538462,22247.70070000004,logarithmic-125-30-2-1.8
12,logarithmic,125,30,3,1.8,71,0.31330365974282887,-0.12131732106487748,4.916666666666667,23676.568600000006,logarithmic-125-30-3-1.8
13,logarithmic,125,30,4,1.8,70,0.31132542037586547,-0.12100946431181048,4.833333333333333,23384.575000000015,logarithmic-125-30-4-1.8
14,logarithmic,125,30,5,1.8,70,0.31132542037586547,-0.12100946431181048,4.833333333333333,23384.575000000015,logarithmic-125-30-5-1.8
15,logarithmic,125,40,1,1.0,64,0.2900593471810089,-0.1431123081286749,4.333333333333333,17388.830400000006,logarithmic-125-40-1-1.0
16,logarithmic,125,40,2,1.0,68,0.2972304648862512,-0.13098766873802728,3.857142857142857,18762.958300000002,logarithmic-125-40-2-1.0
17,logarithmic,125,40,3,1.0,67,0.29475766567754697,-0.13098766873802728,3.7857142857142856,18545.124800000005,logarithmic-125-40-3-1.0
18,logarithmic,125,40,4,1.0,65,0.2861028684470821,-0.13052737929557873,4.0,20277.482800000013,logarithmic-125-40-4-1.0
19,logarithmic,125,40,5,1.0,65,0.2868447082096934,-0.1274421678604114,4.0,20099.472700000017,logarithmic-125-40-5-1.0
20,logarithmic,125,40,1,1.2,67,0.2997032640949555,-0.13326125030545385,4.583333333333333,19959.16920000001,logarithmic-125-40-1-1.2
21,logarithmic,125,40,2,1.2,69,0.2997032640949555,-0.14214286838288948,3.9285714285714284,19041.771900000007,logarithmic-125-40-2-1.2
22,logarithmic,125,40,3,1.2,68,0.29772502472799206,-0.1419068277043843,3.857142857142857,18841.8784,logarithmic-125-40-3-1.2
23,logarithmic,125,40,4,1.2,67,0.2903066271018793,-0.13029905386524604,3.7857142857142856,20777.10990000001,logarithmic-125-40-4-1.2
24,logarithmic,125,40,5,1.2,67,0.2920375865479723,-0.12750470935939046,3.7857142857142856,19998.229200000027,logarithmic-125-40-5-1.2
25,logarithmic,125,40,1,1.4,68,0.30514342235410485,-0.16135728582064732,4.230769230769231,18594.9948,logarithmic-125-40-1-1.4
26,logarithmic,125,40,2,1.4,70,0.30613254203758655,-0.17935613072181253,3.6666666666666665,18215.391200000005,logarithmic-125-40-2-1.4
27,logarithmic,125,40,3,1.4,69,0.3034124629080119,-0.17513969881209437,3.6,18097.3011,logarithmic-125-40-3-1.4
28,logarithmic,125,40,4,1.4,67,0.3014342235410485,-0.13075249857655255,3.7857142857142856,20706.479900000013,logarithmic-125-40-4-1.4
29,logarithmic,125,40,5,1.4,67,0.30217606330365976,-0.1276155536121836,3.7857142857142856,20493.476300000013,logarithmic-125-40-5-1.4
30,logarithmic,125,40,1,1.6,68,0.30588526211671613,-0.22421499376015977,4.230769230769231,17314.5204,logarithmic-125-40-1-1.6
31,logarithmic,125,40,2,1.6,70,0.30712166172106825,-0.2227105917664043,3.6666666666666665,17371.42040000001,logarithmic-125-40-2-1.6
32,logarithmic,125,40,3,1.6,70,0.3167655786350148,-0.22378216047827285,3.6666666666666665,19228.412000000008,logarithmic-125-40-3-1.6
33,logarithmic,125,40,4,1.6,68,0.30489614243323443,-0.1924323743684374,3.857142857142857,20154.502700000012,logarithmic-125-40-4-1.6
34,logarithmic,125,40,5,1.6,69,0.3066271018793274,-0.19271022171577606,3.9285714285714284,20100.012700000018,logarithmic-125-40-5-1.6
35,logarithmic,125,40,1,1.8,69,0.30811078140454995,-0.29475747166736566,4.3076923076923075,15606.492400000008,logarithmic-125-40-1-1.8
36,logarithmic,125,40,2,1.8,71,0.31775469831849656,-0.2821406653365568,3.7333333333333334,16891.83680000002,logarithmic-125-40-2-1.8
37,logarithmic,125,40,3,1.8,71,0.3189910979228487,-0.2835503530528359,3.7333333333333334,17364.67040000001,logarithmic-125-40-3-1.8
38,logarithmic,125,40,4,1.8,69,0.30712166172106825,-0.274787998120511,3.9285714285714284,18185.281200000005,logarithmic-125-40-4-1.8
39,logarithmic,125,40,5,1.8,69,0.3078635014836795,-0.274787998120511,3.9285714285714284,18039.897600000004,logarithmic-125-40-5-1.8
0,logarithmic,150,10,1,1.0,57,0.24629080118694363,-0.09329826973228601,3.3846153846153846,18810.68000000002,logarithmic-150-10-1-1.0
1,logarithmic,150,10,2,1.0,44,0.18916913946587538,-0.09636039468339228,2.6666666666666665,15242.080000000009,logarithmic-150-10-2-1.0
2,logarithmic,150,10,3,1.0,41,0.18175074183976261,-0.09691673582681834,2.727272727272727,15156.560000000001,logarithmic-150-10-3-1.0
3,logarithmic,150,10,4,1.0,39,0.16592482690405538,-0.0971251819026723,3.3333333333333335,16242.530000000008,logarithmic-150-10-4-1.0
4,logarithmic,150,10,5,1.0,38,0.1572700296735905,-0.07717099937403017,3.75,16800.2,logarithmic-150-10-5-1.0
5,logarithmic,150,10,1,1.2,57,0.24752720079129575,-0.09335700007673674,3.75,19251.070000000018,logarithmic-150-10-1-1.2
6,logarithmic,150,10,2,1.2,44,0.19263105835806132,-0.09696597450253154,3.0,16108.550000000016,logarithmic-150-10-2-1.2
7,logarithmic,150,10,3,1.2,41,0.18175074183976261,-0.09691673582681834,2.727272727272727,15156.560000000001,logarithmic-150-10-3-1.2
8,logarithmic,150,10,4,1.2,39,0.16592482690405538,-0.0971251819026723,3.3333333333333335,16242.530000000008,logarithmic-150-10-4-1.2
9,logarithmic,150,10,5,1.2,38,0.1572700296735905,-0.07717099937403017,3.75,16800.2,logarithmic-150-10-5-1.2
10,logarithmic,150,10,1,1.4,59,0.2551928783382789,-0.0930256151011651,3.9166666666666665,20033.820000000007,logarithmic-150-10-1-1.4
11,logarithmic,150,10,2,1.4,46,0.19683481701285854,-0.09662965965265925,3.1818181818181817,16701.120000000003,logarithmic-150-10-2-1.4
12,logarithmic,150,10,3,1.4,43,0.1857072205736894,-0.09658126383419852,2.5833333333333335,15443.51000000001,logarithmic-150-10-3-1.4
13,logarithmic,150,10,4,1.4,41,0.1698813056379822,-0.09705277870181987,3.1,16565.56,logarithmic-150-10-4-1.4
14,logarithmic,150,10,5,1.4,40,0.16122650840751732,-0.07695097916725446,3.4444444444444446,17123.720000000005,logarithmic-150-10-5-1.4
15,logarithmic,150,10,1,1.6,61,0.2603857566765579,-0.09297057527000176,3.6923076923076925,20585.790000000008,logarithmic-150-10-1-1.6
16,logarithmic,150,10,2,1.6,47,0.2020276953511375,-0.09685161090233303,3.272727272727273,17458.40000000001,logarithmic-150-10-2-1.6
17,logarithmic,150,10,3,1.6,44,0.19114737883283878,-0.0972251097604227,3.0,16416.350000000006,logarithmic-150-10-3-1.6
18,logarithmic,150,10,4,1.6,42,0.17828882294757667,-0.09692413227088706,3.6666666666666665,17433.2,logarithmic-150-10-4-1.6
19,logarithmic,150,10,5,1.6,41,0.16963402571711178,-0.08021221427132069,4.125,18024.859999999997,logarithmic-150-10-5-1.6
20,logarithmic,150,10,1,1.8,62,0.26211671612265086,-0.0929862850296493,3.769230769230769,21474.52000000001,logarithmic-150-10-1-1.8
21,logarithmic,150,10,2,1.8,50,0.20944609297725025,-0.1078140651768913,2.8461538461538463,17412.459999999992,logarithmic-150-10-2-1.8
22,logarithmic,150,10,3,1.8,46,0.19708209693372897,-0.10784388877484427,2.5384615384615383,15898.090000000015,logarithmic-150-10-3-1.8
23,logarithmic,150,10,4,1.8,44,0.18125618199802176,-0.10785810094872922,3.0,17038.94000000001,logarithmic-150-10-4-1.8
24,logarithmic,150,10,5,1.8,43,0.17260138476755688,-0.08021221427132069,3.3,17611.989999999998,logarithmic-150-10-5-1.8
25,logarithmic,150,20,1,1.0,74,0.33382789317507416,-0.1268112259303179,5.166666666666667,24042.4467,logarithmic-150-20-1-1.0
26,logarithmic,150,20,2,1.0,71,0.32764589515331355,-0.12661631463736375,4.461538461538462,24476.676800000016,logarithmic-150-20-2-1.0
27,logarithmic,150,20,3,1.0,71,0.32072205736894166,-0.12673228884459115,4.916666666666667,26027.51720000003,logarithmic-150-20-3-1.0
28,logarithmic,150,20,4,1.0,69,0.31305637982195844,-0.12669515806216586,5.2727272727272725,26247.907300000006,logarithmic-150-20-4-1.0
29,logarithmic,150,20,5,1.0,67,0.3115727002967359,-0.1277251655441251,5.090909090909091,25203.107000000015,logarithmic-150-20-5-1.0
30,logarithmic,150,20,1,1.2,75,0.34322453016815035,-0.12644093491464828,5.25,26071.517200000006,logarithmic-150-20-1-1.2
31,logarithmic,150,20,2,1.2,72,0.3293768545994065,-0.12679774763356752,4.538461538461538,24807.596900000026,logarithmic-150-20-2-1.2
32,logarithmic,150,20,3,1.2,72,0.32270029673590506,-0.12659507411178628,5.0,26818.957500000022,logarithmic-150-20-3-1.2
33,logarithmic,150,20,4,1.2,70,0.31701285855588524,-0.12680218457676792,5.363636363636363,26961.397500000014,logarithmic-150-20-4-1.2
34,logarithmic,150,20,5,1.2,68,0.3155291790306627,-0.12744446671979623,5.181818181818182,25892.177200000016,logarithmic-150-20-5-1.2
35,logarithmic,150,20,1,1.4,75,0.34421364985163205,-0.12650792229475072,5.25,26642.757400000013,logarithmic-150-20-1-1.4
36,logarithmic,150,20,2,1.4,72,0.32962413452027695,-0.12675804636709884,4.538461538461538,25168.287000000033,logarithmic-150-20-2-1.4
37,logarithmic,150,20,3,1.4,72,0.32467853610286845,-0.126783036549841,5.0,26748.527400000017,logarithmic-150-20-3-1.4
38,logarithmic,150,20,4,1.4,70,0.31701285855588524,-0.12680218457676792,5.363636363636363,26961.397500000014,logarithmic-150-20-4-1.4
39,logarithmic,150,20,5,1.4,68,0.3155291790306627,-0.12744446671979623,5.181818181818182,25892.177200000016,logarithmic-150-20-5-1.4
0,logarithmic,150,20,1,1.6,77,0.3499010880316518,-0.1209480271917038,5.416666666666667,28619.997899999995,logarithmic-150-20-1-1.6
1,logarithmic,150,20,2,1.6,74,0.33728981206726016,-0.12059843912526244,4.6923076923076925,26977.177500000034,logarithmic-150-20-2-1.6
2,logarithmic,150,20,3,1.6,74,0.3303659742828882,-0.1089691653765902,5.166666666666667,28761.678000000007,logarithmic-150-20-3-1.6
3,logarithmic,150,20,4,1.6,72,0.32270029673590506,-0.10893091227659552,5.545454545454546,28953.478100000015,logarithmic-150-20-4-1.6
4,logarithmic,150,20,5,1.6,70,0.3212166172106825,-0.10969027504168334,5.363636363636363,27808.597700000006,logarithmic-150-20-5-1.6
5,logarithmic,150,20,1,1.8,78,0.35534124629080116,-0.12038852682776799,5.5,28938.558,logarithmic-150-20-1-1.8
6,logarithmic,150,20,2,1.8,75,0.34099901088031653,-0.12075775723109392,4.769230769230769,28091.57780000001,logarithmic-150-20-2-1.8
7,logarithmic,150,20,3,1.8,75,0.3340751730959446,-0.10883184525696264,5.25,29924.24830000002,logarithmic-150-20-3-1.8
8,logarithmic,150,20,4,1.8,73,0.3264094955489614,-0.10898955573712305,5.636363636363637,30147.65840000001,logarithmic-150-20-4-1.8
9,logarithmic,150,20,5,1.8,71,0.3249258160237389,-0.10996756116006547,5.454545454545454,28920.56800000002,logarithmic-150-20-5-1.8
10,logarithmic,150,30,1,1.0,67,0.28857566765578635,-0.13058366138225033,4.583333333333333,19677.867000000006,logarithmic-150-30-1-1.0
11,logarithmic,150,30,2,1.0,67,0.2870919881305638,-0.13033641602594845,3.7857142857142856,18349.357600000003,logarithmic-150-30-2-1.0
12,logarithmic,150,30,3,1.0,64,0.28338278931750743,-0.12634680140638593,3.923076923076923,19102.571900000003,logarithmic-150-30-3-1.0
13,logarithmic,150,30,4,1.0,63,0.2821463897131553,-0.12634680140638593,4.25,19085.011899999998,logarithmic-150-30-4-1.0
14,logarithmic,150,30,5,1.0,64,0.2920375865479723,-0.12653807344337684,4.333333333333333,20618.896400000023,logarithmic-150-30-5-1.0
15,logarithmic,150,30,1,1.2,68,0.29352126607319484,-0.13041088950725432,4.666666666666667,20281.609200000014,logarithmic-150-30-1-1.2
16,logarithmic,150,30,2,1.2,68,0.29253214638971314,-0.13086086790355064,3.857142857142857,19280.828400000006,logarithmic-150-30-2-1.2
17,logarithmic,150,30,3,1.2,64,0.29179030662710187,-0.12653807344337684,3.923076923076923,20579.106400000015,logarithmic-150-30-3-1.2
18,logarithmic,150,30,4,1.2,63,0.29055390702274975,-0.12653807344337684,4.25,20573.576400000013,logarithmic-150-30-4-1.2
19,logarithmic,150,30,5,1.2,64,0.2920375865479723,-0.12653807344337684,4.333333333333333,20618.896400000023,logarithmic-150-30-5-1.2
20,logarithmic,150,30,1,1.4,70,0.2969831849653808,-0.13036145203560037,4.833333333333333,21040.736400000005,logarithmic-150-30-1-1.4
21,logarithmic,150,30,2,1.4,70,0.3044015825914936,-0.13042560166426703,4.0,21403.283500000012,logarithmic-150-30-2-1.4
22,logarithmic,150,30,3,1.4,66,0.2962413452027695,-0.12689688189041762,3.7142857142857144,20865.029900000005,logarithmic-150-30-3-1.4
