,avgType,windowSlow,windowFast,steepness,stdev,numSell,exposure,drawdown,winLoss,value,zzz
0,logarithmic,100,40,1,1.2,77,0.4132047477744807,-0.23791257753380043,3.2777777777777777,20673.25000000002,logarithmic-100-40-1-1.2
1,logarithmic,100,40,2,1.2,79,0.42631058358061324,-0.2268010856027572,3.1578947368421053,21103.16000000001,logarithmic-100-40-2-1.2
2,logarithmic,100,40,3,1.2,76,0.415677546983185,-0.2478783030318764,2.8,19326.15000000001,logarithmic-100-40-3-1.2
3,logarithmic,100,40,4,1.2,75,0.410484668644906,-0.2486134409688444,2.75,18870.65,logarithmic-100-40-4-1.2
4,logarithmic,100,40,5,1.2,74,0.40677546983184965,-0.2479566327328546,2.7,18759.380000000005,logarithmic-100-40-5-1.2
5,logarithmic,100,40,1,1.4,77,0.4230959446092977,-0.2972271924382142,3.5294117647058822,19841.739999999998,logarithmic-100-40-1-1.4
6,logarithmic,100,40,2,1.4,80,0.43793273986152326,-0.2578016415720625,3.4444444444444446,22042.63000000001,logarithmic-100-40-2-1.4
7,logarithmic,100,40,3,1.4,77,0.4235905044510386,-0.25762176529880776,3.0526315789473686,20044.750000000015,logarithmic-100-40-3-1.4
8,logarithmic,100,40,4,1.4,75,0.41617210682492584,-0.23815529133891983,2.9473684210526314,19251.290000000008,logarithmic-100-40-4-1.4
9,logarithmic,100,40,5,1.4,74,0.41271018793273984,-0.23796866983172382,2.8947368421052633,19157.87,logarithmic-100-40-5-1.4
10,logarithmic,100,40,1,1.6,78,0.42556874381800197,-0.3629888571254599,3.588235294117647,18884.94,logarithmic-100-40-1-1.6
11,logarithmic,100,40,2,1.6,80,0.4391691394658754,-0.29964215400804656,3.4444444444444446,20565.66000000001,logarithmic-100-40-2-1.6
12,logarithmic,100,40,3,1.6,77,0.4260633036597428,-0.2972690043231918,3.0526315789473686,19125.76000000001,logarithmic-100-40-3-1.6
13,logarithmic,100,40,4,1.6,75,0.41913946587537093,-0.2972690043231918,2.9473684210526314,18052.760000000002,logarithmic-100-40-4-1.6
14,logarithmic,100,40,5,1.6,74,0.4149357072205737,-0.2581540918163671,2.8947368421052633,18983.940000000002,logarithmic-100-40-5-1.6
15,logarithmic,100,40,1,1.8,78,0.4258160237388724,-0.3391480704887906,3.588235294117647,19555.769999999993,logarithmic-100-40-1-1.8
16,logarithmic,100,40,2,1.8,80,0.4394164193867458,-0.3629888571254599,3.4444444444444446,18710.35000000001,logarithmic-100-40-2-1.8
17,logarithmic,100,40,3,1.8,77,0.42631058358061324,-0.29964215400804656,3.0526315789473686,19076.74000000001,logarithmic-100-40-3-1.8
18,logarithmic,100,40,4,1.8,75,0.4226013847675569,-0.30004279342167806,2.9473684210526314,17714.01000000002,logarithmic-100-40-4-1.8
