,avgType,windowSlow,windowFast,steepness,stdev,numSell,exposure,drawdown,winLoss,value,zzz
0,logarithmic,100,40,1,1.2,80,0.39490603363006926,-0.26735566252817156,3.7058823529411766,18072.44999999999,logarithmic-100-40-1-1.2
1,logarithmic,100,40,2,1.2,80,0.40702274975272007,-0.28620717635794146,3.4444444444444446,17226.569999999996,logarithmic-100-40-2-1.2
2,logarithmic,100,40,3,1.2,72,0.37289812067260136,-0.30528327301643954,3.5,15047.97,logarithmic-100-40-3-1.2
3,logarithmic,100,40,4,1.2,73,0.37611275964391694,-0.2958308313994055,3.5625,15552.5,logarithmic-100-40-4-1.2
4,logarithmic,100,40,5,1.2,71,0.367457962413452,-0.3043006215615312,3.4375,14837.459999999995,logarithmic-100-40-5-1.2
5,logarithmic,100,40,1,1.4,80,0.39886251236399606,-0.33214915573228815,3.4444444444444446,15991.04,logarithmic-100-40-1-1.4
6,logarithmic,100,40,2,1.4,80,0.4075173095944609,-0.33371687304240566,3.4444444444444446,16016.269999999995,logarithmic-100-40-2-1.4
7,logarithmic,100,40,3,1.4,72,0.37363996043521264,-0.34934435807137393,3.5,14081.750000000005,logarithmic-100-40-3-1.4
8,logarithmic,100,40,4,1.4,73,0.37734915924826906,-0.34934435807137393,3.5625,14400.139999999996,logarithmic-100-40-4-1.4
9,logarithmic,100,40,5,1.4,71,0.369188921859545,-0.35906213992437375,3.4375,13646.230000000007,logarithmic-100-40-5-1.4
10,logarithmic,100,40,1,1.6,81,0.4043026706231454,-0.413725895423694,3.764705882352941,14476.350000000008,logarithmic-100-40-1-1.6
11,logarithmic,100,40,2,1.6,81,0.4132047477744807,-0.40572712961911095,3.764705882352941,14745.149999999996,logarithmic-100-40-2-1.6
12,logarithmic,100,40,3,1.6,74,0.3805637982195846,-0.40685954608077723,3.933333333333333,13298.340000000004,logarithmic-100-40-3-1.6
13,logarithmic,100,40,4,1.6,75,0.3909495548961424,-0.3189254739759846,4.0,16260.749999999984,logarithmic-100-40-4-1.6
14,logarithmic,100,40,5,1.6,73,0.3830365974282888,-0.3189254739759846,3.8666666666666667,15493.109999999999,logarithmic-100-40-5-1.6
