numSell,exposure,drawdown,winLoss,value,fast,slow,sig
128,0.5453100158982512,-0.2869053640642744,3.0,20159.58915099999,2,5,3
114,0.5691573926868044,-0.29285903906280536,2.081081081081081,13315.57414599999,4,5,3
112,0.5926073131955485,-0.31586416213990764,2.111111111111111,14248.56925099999,2,8,3
118,0.5472972972972973,-0.29669026189842373,1.4583333333333333,11884.43423800001,4,8,3
109,0.5333863275039745,-0.2825321900069282,1.868421052631579,16096.969217000029,6,8,3
0,0.0,0.0,inf,10000.0,8,8,3
88,0.5441176470588235,-0.29821044338943364,2.8260869565217392,12921.566234999991,2,11,3
90,0.5691573926868044,-0.28325789866060536,2.3333333333333335,15573.169522999991,4,11,3
91,0.5393481717011129,-0.28745858269519337,1.935483870967742,16279.130022000005,6,11,3
93,0.5417329093799682,-0.2368650115601466,2.4444444444444446,18225.858842000016,8,11,3
76,0.5313990461049285,-0.2159597893109296,2.4545454545454546,17456.998168999988,10,11,3
78,0.5639904610492846,-0.28332845220131536,2.7142857142857144,13098.629743999989,2,14,3
78,0.5441176470588235,-0.2709558887831861,2.9,16199.838588,4,14,3
76,0.5500794912559619,-0.2710843241066725,2.04,18009.039903999997,6,14,3
71,0.5095389507154213,-0.22439720416465644,1.9583333333333333,17544.497985000013,8,14,3
75,0.5369634340222575,-0.2200059871600013,1.8846153846153846,16205.15075499999,10,14,3
72,0.525039745627981,-0.17130706933980686,1.6666666666666667,20715.269912999982,12,14,3
0,0.0,0.0,inf,10000.0,14,14,3
63,0.5131160572337043,-0.28448859287251027,2.9375,12654.415355000005,2,17,3
68,0.5552464228934817,-0.2654019578344224,2.238095238095238,15654.793279999983,4,17,3
62,0.527027027027027,-0.2730454614756198,1.5833333333333333,15283.491784999991,6,17,3
59,0.5095389507154213,-0.23183156645915778,2.2777777777777777,14203.684741000023,8,17,3
58,0.503577106518283,-0.2559092120522741,1.6363636363636365,13978.92989900001,10,17,3
58,0.5003974562798092,-0.18469696686890633,2.0526315789473686,18516.310025000006,12,17,3
61,0.4888712241653418,-0.18944189557724167,2.210526315789474,15944.900266999994,14,17,3
63,0.48370429252782193,-0.19366294989575095,1.4230769230769231,17080.198752999993,16,17,3
58,0.5139109697933227,-0.2856650915935764,2.8666666666666667,12829.670388999977,2,20,3
59,0.519872813990461,-0.26560670346835824,2.6875,14798.90889899999,4,20,3
56,0.5385532591414944,-0.2693462869670567,1.8,15081.876204,6,20,3
56,0.5190779014308426,-0.23697910261444427,1.9473684210526316,12755.360827000004,8,20,3
53,0.48330683624801274,-0.24671495285492107,2.1176470588235294,15323.999951999991,10,20,3
53,0.48052464228934816,-0.23197720637335364,1.9444444444444444,16906.720933,12,20,3
56,0.46462639109697934,-0.21840536806629077,1.8,15420.399299999988,14,20,3
58,0.4682034976152623,-0.18864115765554063,1.9,17507.340164999983,16,20,3
54,0.4825119236883943,-0.18378590133493247,2.375,15511.620174,18,20,3
0,0.0,0.0,inf,10000.0,20,20,3
56,0.514308426073132,-0.2859048160932508,2.2941176470588234,13254.439217999996,2,23,3
53,0.5512718600953895,-0.26922134885316,2.533333333333333,14910.669476999998,4,23,3
52,0.5433227344992051,-0.22500029235587268,2.7142857142857144,17141.26878100001,6,23,3
48,0.5258346581875993,-0.22002777486036124,2.4285714285714284,15187.000930999999,8,23,3
47,0.49880763116057236,-0.19157626565451877,2.6153846153846154,19084.30990100001,10,23,3
48,0.5043720190779014,-0.2015170350087832,2.4285714285714284,18215.639436999973,12,23,3
50,0.503577106518283,-0.18409246631180232,2.5714285714285716,20580.910151999986,14,23,3
50,0.48171701112877585,-0.20146335100387547,2.8461538461538463,19247.210002000007,16,23,3
50,0.48569157392686807,-0.15834338120160732,2.5714285714285716,22096.199807000015,18,23,3
50,0.4538950715421304,-0.15491542744581502,2.3333333333333335,21901.431652999996,20,23,3
50,0.5178855325914149,-0.282066289264823,2.5714285714285716,13824.448612999999,2,26,3
50,0.5532591414944356,-0.2665233749452993,3.5454545454545454,16030.584733000002,4,26,3
47,0.5711446740858506,-0.22675414133250762,2.9166666666666665,21895.839063000003,6,26,3
43,0.5202702702702703,-0.1645173722869491,2.0714285714285716,18566.879311999997,8,26,3
43,0.5321939586645469,-0.1901265749051235,1.8666666666666667,18187.590921000003,10,26,3
43,0.5218600953895072,-0.20368763460847183,2.3076923076923075,19943.739590999998,12,26,3
44,0.4813195548489666,-0.17436552472328787,1.9333333333333333,17776.880373,14,26,3
45,0.48926868044515104,-0.18453859434776637,2.4615384615384617,17889.020041000007,16,26,3
46,0.4944356120826709,-0.14578503658797193,3.1818181818181817,22642.265699,18,26,3
50,0.48171701112877585,-0.1322596921986655,2.5714285714285716,21681.80004599999,20,26,3
48,0.5011923688394276,-0.28375981722533267,3.3636363636363638,14928.768838999997,2,29,3
44,0.5425278219395866,-0.26904262951788827,4.5,15534.910173000007,4,29,3
44,0.5560413354531002,-0.22662518397767487,3.0,20769.429665,6,29,3
43,0.5266295707472178,-0.1731163454567051,2.3076923076923075,21494.790731999987,8,29,3
40,0.5266295707472178,-0.18690544691982078,2.076923076923077,21832.277460000016,10,29,3
40,0.5151033386327504,-0.18836249066025496,3.4444444444444446,22975.740336,12,29,3
40,0.5155007949125596,-0.2165451545406488,2.3333333333333335,21646.680688,14,29,3
40,0.5059618441971383,-0.157332452866558,3.0,19872.603785,16,29,3
40,0.49324324324324326,-0.13008768771932389,2.6363636363636362,21704.855444000015,18,29,3
45,0.49642289348171703,-0.12278433584815258,2.75,23401.33491499999,20,29,3
44,0.4793322734499205,-0.28295676206147635,3.888888888888889,15585.617744999994,2,32,3
47,0.5238473767885533,-0.2683020322248226,4.222222222222222,17658.555191999993,4,32,3
44,0.5457074721780604,-0.22597241880323968,3.0,21688.224290000006,6,32,3
40,0.5325914149443561,-0.15466614368489653,2.076923076923077,21346.330373999983,8,32,3
38,0.5186804451510334,-0.16540332103869104,2.4545454545454546,21075.609219999988,10,32,3
38,0.5242448330683624,-0.168363175270467,2.8,22365.29985499998,12,32,3
36,0.5051669316375199,-0.1636928253760221,2.272727272727273,20151.120328000005,14,32,3
36,0.5151033386327504,-0.1638037965761107,3.0,20482.259464000013,16,32,3
38,0.5099364069952306,-0.12281553750460977,2.4545454545454546,20473.849759000004,18,32,3
40,0.4725755166931638,-0.12302158165803836,3.0,23126.570120999986,20,32,3
40,0.4757551669316375,-0.28720909748627343,3.4444444444444446,14541.157780999993,2,35,3
44,0.5158982511923689,-0.26881758541450557,4.5,16932.63531199999,4,35,3
44,0.5254372019077902,-0.22618873594405858,2.3846153846153846,18453.104649000004,6,35,3
41,0.5294117647058824,-0.14120028785688857,2.1538461538461537,21424.909959,8,35,3
37,0.527027027027027,-0.16460511609175654,2.3636363636363638,19566.323499,10,35,3
35,0.5234499205087441,-0.16892973710056391,2.888888888888889,21667.28931999998,12,35,3
34,0.5266295707472178,-0.17499833276788318,3.25,19225.87076900001,14,35,3
34,0.5135135135135135,-0.17614155334325274,2.090909090909091,18868.559649000013,16,35,3
33,0.4972178060413355,-0.1657868959311691,3.125,18811.070319999988,18,35,3
32,0.4912559618441971,-0.1976652217686204,1.9090909090909092,16070.930847000001,20,35,3
69,0.4781399046104928,-0.2830015375120996,3.0588235294117645,11672.04834599999,2,5,5
65,0.5123211446740858,-0.314131776347137,2.25,11086.98908,4,5,5
72,0.5266295707472178,-0.2999815552770772,4.142857142857143,13082.388520999984,2,8,5
