numSell,exposure,drawdown,winLoss,value,delay,fast,slow,sig
173,0.5659777424483307,-0.22346788107326665,2.9318181818181817,24613.65750500001,1,2,5,3
88,0.5103338632750397,-0.19062171953441387,2.3846153846153846,18004.620760999973,2,2,5,3
174,0.5874403815580286,-0.18292108460738513,2.702127659574468,23604.30761400001,1,4,5,3
87,0.634737678855326,-0.2850622462744398,2.782608695652174,18789.258647999995,2,4,5,3
19,0.5361685214626392,-0.33454211709353227,2.1666666666666665,13548.360467000002,3,4,5,3
6,0.49165341812400637,-0.3404454446402381,inf,15511.94027,4,4,5,3
156,0.8573131955484896,-0.20960509130137575,1.1081081081081081,13870.58066300002,1,6,5,3
87,0.798489666136725,-0.14890825904936456,1.3513513513513513,14867.47003999999,2,6,5,3
22,0.831081081081081,-0.20649662086068293,2.142857142857143,13889.449818000001,3,6,5,3
5,0.6474562798092209,-0.3382515920159426,inf,17246.330288999998,4,6,5,3
1,0.09419713831478538,-0.33906451997149917,inf,17180.619684999998,5,6,5,3
142,0.8767885532591415,-0.17931915682654395,1.2903225806451613,17751.739978,1,8,5,3
111,0.8807631160572337,-0.20776958968148526,1.2653061224489797,18689.80130800001,2,8,5,3
37,0.9097774244833068,-0.3522461613440904,1.3125,10643.329574000009,3,8,5,3
8,0.7639109697933227,-0.16880948241492427,3.0,18126.89949,4,8,5,3
1,1.201510333863275,-0.3406834375949226,inf,27677.58,5,8,5,3
115,0.8676470588235294,-0.1750590451471777,1.446808510638298,18006.259182999976,1,10,5,3
98,0.8728139904610492,-0.18361452780707563,1.5128205128205128,17732.42969399999,2,10,5,3
42,0.9260731319554849,-0.12855328265272165,2.230769230769231,26609.518736000005,3,10,5,3
13,0.9841017488076311,-0.20487019012601965,5.5,21330.56996700001,4,10,5,3
5,0.6828298887122417,-0.10562295091175643,inf,19956.190288,5,10,5,3
94,0.9002384737678856,-0.1908342414855669,1.186046511627907,17483.562058999996,1,12,5,3
85,0.893879173290938,-0.2018622927703549,1.2972972972972974,18612.968082000003,2,12,5,3
47,0.9872813990461049,-0.15355931314155133,1.7647058823529411,20378.320716999995,3,12,5,3
16,0.800476947535771,-0.20251412491952808,1.0,13943.720065000001,4,12,5,3
3,1.0059618441971383,-0.3378530456208873,inf,17681.830306000003,5,12,5,3
84,0.9117647058823529,-0.16658574324581535,1.2105263157894737,18520.016437000017,1,14,5,3
76,0.9149443561208267,-0.16494201586553106,1.2352941176470589,18850.823629000002,2,14,5,3
40,1.009141494435612,-0.34453509779373737,2.076923076923077,17039.439432999992,3,14,5,3
14,1.1029411764705883,-0.35870800993542135,1.8,14561.550480000005,4,14,5,3
3,0.9626391096979332,-0.15844071858212516,inf,25526.25,5,14,5,3
72,0.910174880763116,-0.18046116181490893,1.3225806451612903,18305.765352000002,1,16,5,3
65,0.9030206677265501,-0.176874715238631,1.4074074074074074,18962.910590000007,2,16,5,3
40,1.0087440381558028,-0.24985534146214552,2.076923076923077,19905.320801000013,3,16,5,3
18,1.0822734499205087,-0.33659756558778803,1.25,15316.724779999999,4,16,5,3
3,0.9578696343402225,-0.3394923702547456,2.0,20867.77,5,16,5,3
66,0.9256756756756757,-0.21708447448640725,0.9411764705882353,16771.968831,1,18,5,3
60,0.9276629570747218,-0.16886339853239427,1.5,22583.014259999996,2,18,5,3
40,1.0162957074721781,-0.31308667497819637,2.3333333333333335,20432.170149,3,18,5,3
23,1.0123211446740858,-0.48889007268106205,0.9166666666666666,9701.374984999997,4,18,5,3
6,1.1053259141494436,-0.3392883975583448,2.0,15738.43025,5,18,5,3
65,0.9165341812400636,-0.16009707872977838,0.9696969696969697,17379.334657000003,1,20,5,3
57,0.9145468998410174,-0.14196756880052833,1.4782608695652173,21307.991495000017,2,20,5,3
36,0.9399841017488076,-0.14503345514525673,4.142857142857143,24302.299912000006,3,20,5,3
16,0.931637519872814,-0.3388027480353268,1.2857142857142858,14008.689742999994,4,20,5,3
3,1.1554054054054055,-0.3409219100077793,inf,18508.43952,5,20,5,3
138,0.5457074721780604,-0.28496978914827087,2.72972972972973,20917.873671999987,1,2,8,3
89,0.5206677265500795,-0.28434412937704673,2.56,14834.037234,2,2,8,3
140,0.568362480127186,-0.28436159189902743,1.9166666666666667,17351.738978000012,1,4,8,3
103,0.5357710651828299,-0.3493217319529841,1.641025641025641,10027.349883999987,2,4,8,3
40,0.4944356120826709,-0.17526604869280743,2.076923076923077,15776.119540000002,3,4,8,3
6,0.3430047694753577,-0.1210078642290843,inf,13773.519694000002,4,4,8,3
138,0.5914149443561209,-0.28684776771218234,1.6037735849056605,14982.826132999999,1,6,8,3
85,0.5850556438791733,-0.2917627976768916,1.9310344827586208,13981.930570000008,2,6,8,3
28,0.5333863275039745,-0.17945386755536968,3.0,17434.979897999998,3,6,8,3
6,0.3978537360890302,-0.20277198355160142,5.0,14781.749995999999,4,6,8,3
1,0.12559618441971382,-0.09614946928472409,inf,12956.32,5,6,8,3
0,0.0,0.0,inf,10000.0,1,8,8,3
0,0.0,0.0,inf,10000.0,2,8,8,3
0,0.0,0.0,inf,10000.0,3,8,8,3
0,0.0,0.0,inf,10000.0,4,8,8,3
0,0.0,0.0,inf,10000.0,5,8,8,3
120,0.8835453100158982,-0.19516160433269883,1.2222222222222223,17227.845717000015,1,10,8,3
81,0.8668521462639109,-0.3058725047103045,1.3142857142857143,12436.220919000005,2,10,8,3
25,0.9133545310015898,-0.15412452987139524,3.1666666666666665,24866.920093999997,3,10,8,3
9,0.9304451510333863,-0.3402857941384155,3.5,22910.859783999997,4,10,8,3
1,0.31915739268680443,-0.25120522989350713,inf,15952.139678,5,10,8,3
99,0.8799682034976153,-0.16501963578285184,1.2,19474.569785999996,1,12,8,3
79,0.8950715421303657,-0.16117472069797698,1.393939393939394,18224.370417999984,2,12,8,3
39,0.9034181240063593,-0.30762529084926127,1.2941176470588236,14143.081683000008,3,12,8,3
18,0.8807631160572337,-0.23139663020132328,1.5714285714285714,13297.178981999998,4,12,8,3
4,0.8521462639109698,-0.33869627586954326,inf,14999.26,5,12,8,3
79,0.8970588235294118,-0.18082609799708876,1.0789473684210527,16339.125393999992,1,14,8,3
72,0.8910969793322735,-0.20081242962016682,1.3225806451612903,15234.150760000002,2,14,8,3
47,0.8954689984101749,-0.2659151742387226,1.35,14615.080712999998,3,14,8,3
20,0.8728139904610492,-0.14565466647811298,1.2222222222222223,19774.619163999992,4,14,8,3
3,0.9713831478537361,-0.3406761131455198,inf,20714.930371000002,5,14,8,3
